timepoint,cd_name,empty_slots,free_bikes,slots
8,Bedford Stuyvesant (CD3),937,346,1404
8,Belmont and East Tremont (CD6),14,17,35
8,Borough Park (CD12),28,163,202
8,Brownsville (CD16),316,72,403
8,Bushwick (CD4),868,311,1255
8,Central Harlem (CD10),453,529,1085
8,Clinton and Chelsea (CD4),1468,1026,2921
8,Crown Heights and Prospect Heights (CD8),829,258,1204
8,East Flatbush (CD17),27,536,591
8,East Harlem (CD11),491,559,1160
8,East New York and Starrett City (CD5),11,9,21
8,Elmhurst and Corona (CD4),151,428,600
8,Financial District (CD1),735,1880,2869
8,Flatbush and Midwood (CD14),74,351,461
8,Fordham and University Heights (CD5),560,229,860
8,Fort Greene and Brooklyn Heights (CD2),1310,1774,3365
8,Greenpoint and Williamsburg (CD1),1279,1908,3415
8,Greenwich Village and Soho (CD2),881,1924,3161
8,Highbridge and Concourse (CD4),573,616,1294
8,Hunts Point and Longwood (CD2),223,198,449
8,Jackson Heights (CD3),869,694,1632
8,Kingsbridge Heights and Bedford (CD7),470,364,930
8,Long Island City and Astoria (CD1),1371,1452,2985
8,Lower East Side and Chinatown (CD3),1514,1277,3096
8,Midtown (CD5),2604,1509,4692
8,Morningside Heights and Hamilton Heights (CD9),643,255,1005
8,Morrisania and Crotona (CD3),363,389,832
8,Mott Haven and Melrose (CD1),487,532,1115
8,Park Slope and Carroll Gardens (CD6),665,1199,2079
8,Ridgewood and Maspeth (CD5),721,595,1380
8,South Crown Heights and Lefferts Gardens (CD9),460,571,1074
8,Stuyvesant Town and Turtle Bay (CD6),1530,645,2483
8,Sunset Park (CD7),545,1032,1648
8,Upper East Side (CD8),1197,652,2063
8,Upper West Side (CD7),1085,447,1814
8,Washington Heights and Inwood (CD12),594,548,1236
8,Woodside and Sunnyside (CD2),1020,1013,2154
9,Bay Ridge and Dyker Heights (CD10),22,65,93
9,Bedford Stuyvesant (CD3),947,336,1404
9,Belmont and East Tremont (CD6),17,14,35
9,Borough Park (CD12),31,159,202
9,Brownsville (CD16),314,73,403
9,Bushwick (CD4),834,338,1255
9,Central Harlem (CD10),437,542,1085
9,Clinton and Chelsea (CD4),1330,1169,2921
9,Crown Heights and Prospect Heights (CD8),818,270,1204
9,East Flatbush (CD17),28,536,591
9,East Harlem (CD11),490,557,1160
9,East New York and Starrett City (CD5),12,8,21
9,Elmhurst and Corona (CD4),152,427,600
9,Financial District (CD1),897,1725,2869
9,Flatbush and Midwood (CD14),68,359,461
9,Fordham and University Heights (CD5),552,237,860
9,Fort Greene and Brooklyn Heights (CD2),1320,1764,3365
9,Greenpoint and Williamsburg (CD1),1189,2002,3415
9,Greenwich Village and Soho (CD2),809,1988,3161
9,Highbridge and Concourse (CD4),570,614,1294
9,Hunts Point and Longwood (CD2),217,205,449
9,Jackson Heights (CD3),858,705,1632
9,Kingsbridge Heights and Bedford (CD7),465,370,930
9,Long Island City and Astoria (CD1),1335,1479,2985
9,Lower East Side and Chinatown (CD3),1307,1501,3096
9,Midtown (CD5),2987,1113,4692
9,Morningside Heights and Hamilton Heights (CD9),630,267,1005
9,Morrisania and Crotona (CD3),349,402,832
9,Mott Haven and Melrose (CD1),488,532,1115
9,Park Slope and Carroll Gardens (CD6),568,1277,2079
9,Ridgewood and Maspeth (CD5),706,607,1380
9,South Crown Heights and Lefferts Gardens (CD9),456,577,1074
9,Stuyvesant Town and Turtle Bay (CD6),1634,568,2483
9,Sunset Park (CD7),518,1057,1648
9,Upper East Side (CD8),1106,729,2063
9,Upper West Side (CD7),916,602,1814
9,Washington Heights and Inwood (CD12),594,547,1236
9,Woodside and Sunnyside (CD2),1042,991,2154
10,Bay Ridge and Dyker Heights (CD10),18,69,93
10,Bedford Stuyvesant (CD3),921,363,1404
10,Belmont and East Tremont (CD6),12,19,35
10,Borough Park (CD12),24,167,202
10,Brownsville (CD16),311,77,403
10,Bushwick (CD4),831,344,1255
10,Central Harlem (CD10),397,586,1085
10,Clinton and Chelsea (CD4),1271,1206,2921
10,Crown Heights and Prospect Heights (CD8),812,268,1204
10,East Flatbush (CD17),26,539,591
10,East Harlem (CD11),470,576,1160
10,East New York and Starrett City (CD5),12,8,21
10,Elmhurst and Corona (CD4),158,423,600
10,Financial District (CD1),923,1711,2869
10,Flatbush and Midwood (CD14),75,356,461
10,Fordham and University Heights (CD5),556,239,860
10,Fort Greene and Brooklyn Heights (CD2),1267,1805,3365
10,Greenpoint and Williamsburg (CD1),1109,2080,3415
10,Greenwich Village and Soho (CD2),831,1974,3161
10,Highbridge and Concourse (CD4),559,626,1294
10,Hunts Point and Longwood (CD2),211,213,449
10,Jackson Heights (CD3),849,714,1632
10,Kingsbridge Heights and Bedford (CD7),463,371,930
10,Long Island City and Astoria (CD1),1291,1522,2985
10,Lower East Side and Chinatown (CD3),1078,1731,3096
10,Midtown (CD5),3113,987,4692
10,Morningside Heights and Hamilton Heights (CD9),630,264,1005
10,Morrisania and Crotona (CD3),339,416,832
10,Mott Haven and Melrose (CD1),495,526,1115
10,Park Slope and Carroll Gardens (CD6),514,1326,2079
10,Ridgewood and Maspeth (CD5),694,619,1380
10,South Crown Heights and Lefferts Gardens (CD9),447,586,1074
10,Stuyvesant Town and Turtle Bay (CD6),1628,579,2483
10,Sunset Park (CD7),495,1084,1648
10,Upper East Side (CD8),1082,745,2063
10,Upper West Side (CD7),774,745,1814
10,Washington Heights and Inwood (CD12),601,542,1236
10,Woodside and Sunnyside (CD2),1032,1000,2154
11,Bay Ridge and Dyker Heights (CD10),18,69,93
11,Bedford Stuyvesant (CD3),894,378,1404
11,Belmont and East Tremont (CD6),17,14,35
11,Borough Park (CD12),25,166,202
11,Brownsville (CD16),308,79,403
11,Bushwick (CD4),809,366,1255
11,Central Harlem (CD10),400,582,1085
11,Clinton and Chelsea (CD4),1238,1240,2921
11,Crown Heights and Prospect Heights (CD8),766,316,1204
11,East Flatbush (CD17),27,538,591
11,East Harlem (CD11),438,609,1160
11,East New York and Starrett City (CD5),12,8,21
11,Elmhurst and Corona (CD4),159,422,600
11,Financial District (CD1),969,1643,2869
11,Flatbush and Midwood (CD14),67,364,461
11,Fordham and University Heights (CD5),544,249,860
11,Fort Greene and Brooklyn Heights (CD2),1252,1813,3365
11,Greenpoint and Williamsburg (CD1),1038,2152,3415
11,Greenwich Village and Soho (CD2),865,1930,3161
11,Highbridge and Concourse (CD4),559,625,1294
11,Hunts Point and Longwood (CD2),211,212,449
11,Jackson Heights (CD3),836,726,1632
11,Kingsbridge Heights and Bedford (CD7),465,368,930
11,Long Island City and Astoria (CD1),1273,1541,2985
11,Lower East Side and Chinatown (CD3),964,1830,3096
11,Midtown (CD5),3251,845,4692
11,Morningside Heights and Hamilton Heights (CD9),636,265,1005
11,Morrisania and Crotona (CD3),330,425,832
11,Mott Haven and Melrose (CD1),488,533,1115
11,Park Slope and Carroll Gardens (CD6),522,1317,2079
11,Ridgewood and Maspeth (CD5),683,630,1380
11,South Crown Heights and Lefferts Gardens (CD9),436,595,1074
11,Stuyvesant Town and Turtle Bay (CD6),1578,628,2483
11,Sunset Park (CD7),508,1069,1648
11,Upper East Side (CD8),1060,772,2063
11,Upper West Side (CD7),747,773,1814
11,Washington Heights and Inwood (CD12),599,545,1236
11,Woodside and Sunnyside (CD2),1040,992,2154
12,Bay Ridge and Dyker Heights (CD10),16,71,93
12,Bedford Stuyvesant (CD3),864,410,1404
12,Belmont and East Tremont (CD6),15,16,35
12,Borough Park (CD12),24,167,202
12,Brownsville (CD16),306,81,403
12,Bushwick (CD4),794,381,1255
12,Central Harlem (CD10),384,597,1085
12,Clinton and Chelsea (CD4),1204,1263,2921
12,Crown Heights and Prospect Heights (CD8),736,347,1204
12,East Flatbush (CD17),25,540,591
12,East Harlem (CD11),428,619,1160
12,East New York and Starrett City (CD5),13,7,21
12,Elmhurst and Corona (CD4),156,424,600
12,Financial District (CD1),974,1638,2869
12,Flatbush and Midwood (CD14),54,375,461
12,Fordham and University Heights (CD5),542,251,860
12,Fort Greene and Brooklyn Heights (CD2),1258,1808,3365
12,Greenpoint and Williamsburg (CD1),975,2230,3415
12,Greenwich Village and Soho (CD2),954,1840,3161
12,Highbridge and Concourse (CD4),551,630,1294
12,Hunts Point and Longwood (CD2),207,218,449
12,Jackson Heights (CD3),831,736,1632
12,Kingsbridge Heights and Bedford (CD7),466,367,930
12,Long Island City and Astoria (CD1),1259,1556,2985
12,Lower East Side and Chinatown (CD3),958,1849,3096
12,Midtown (CD5),3358,742,4692
12,Morningside Heights and Hamilton Heights (CD9),606,293,1004
12,Morrisania and Crotona (CD3),341,415,832
12,Mott Haven and Melrose (CD1),479,541,1115
12,Park Slope and Carroll Gardens (CD6),549,1298,2079
12,Ridgewood and Maspeth (CD5),672,642,1380
12,South Crown Heights and Lefferts Gardens (CD9),406,623,1074
12,Stuyvesant Town and Turtle Bay (CD6),1531,674,2483
12,Sunset Park (CD7),515,1063,1648
12,Upper East Side (CD8),1036,801,2063
12,Upper West Side (CD7),711,825,1814
12,Washington Heights and Inwood (CD12),594,550,1236
12,Woodside and Sunnyside (CD2),1055,977,2154
13,Bay Ridge and Dyker Heights (CD10),16,71,93
13,Bedford Stuyvesant (CD3),802,468,1404
