measurement_id,measurement_name,peak_id,cf_id,mono_cf_id,peak_mz,peak_mz_nominal,peak_charge,peak_mass_deconvoluted,peak_intensity,peak_relint_bp,peak_relint_tic,peak_resolution,peak_sn,formula_json,formula_mass,formula_mass_nominal,formula_error_relative,formula_score_primary,formula_score_secondary,formula_hc,formula_oc,formula_nc,formula_sc,formula_pc,formula_dbe,formula_dbe_o,peak_kmd_ch2,peak_kmd_co2,peak_kmd_h2,peak_kmd_nh2,formula_ai,formula_ai_mod,formula_ai_con,formula_xc,formula_nosc,formula_f_star,formula_z_x,formula_dbe_div_c,formula_dbe_div_h,formula_dbe_div_o,formula_feature,peak_kmd_div_zstar,peak_zstar,formula_string,formula_class,C,H,O,Na,S,N,occurrence_count,peak_intensity_rank,measurement_rank
25586,CBZ_dark_1,239261344,5785000,5785000,173.093679,173,1,172.0864025479,682171.4,0.000134148678427126,0.00011138909384779,933353.2,15.01,"[{""C"":10,""H"":13,""O"":1,""Na"":1}]",172.08640932,172,0.0393529,1,,1.3,0.1,0,0,0,4,3,0.0995997378377638,0.866300515787117,0.250268147735369,0.108647105724515,0.388888888888889,0.421052631578947,0.421052631578947,2.5,-1.1,-1.5,-7 (Na1 O1),0.4,0.307692307692308,4,,-0.0110666375375293,-9,C10 H13 O1 Na1,CHNO,10,13,1,1,,,2,193,2
25586,CBZ_dark_1,239261453,6089000,6089000,175.03654,175,1,174.0292635479,561288.5,0.000110377114155393,0.000091650598958246,1162341.1,11.94,"[{""C"":8,""H"":7,""O"":3,""Na"":1}]",174.02928836,174,0.14257428,1,,0.875,0.375,0,0,0,5,2,0.158908162648913,0.922990312567066,0.32249205733163,0.168057081200715,0.5,0.615384615384615,0.615384615384615,2.5,-0.125,-1.5,-9 (Na1 O3),0.625,0.714285714285714,1.66666666666667,,-0.0227011660927019,-7,C8 H7 O3 Na1,CHNO,8,7,3,1,,,2,281,2
25586,CBZ_dark_1,239261456,6133000,6133000,175.072932,175,1,174.0656555479,2137036.8,0.000420247261128412,0.000348948362055901,997963.6,50.93,"[{""C"":9,""H"":11,""O"":2,""Na"":1}]",174.06567387,174,0.1052597,1,,1.222,0.222,0,0,0,4,2,0.122556798447192,0.886589898478974,0.286382614874356,0.131707619158647,0.357142857142857,0.4375,0.4375,2.42857142857143,-0.777777777777778,-1.5,-7 (Na1 O2),0.444444444444444,0.363636363636364,2,,-0.0175081140638846,-7,C9 H11 O2 Na1,CHNO,9,11,2,1,,,2,84,2
25586,CBZ_dark_1,239261458,6152000,6152000,175.109342,175,1,174.1020655479,354645.2,0.0000697408083811837,0.0000579086245267219,1152783.2,6.82,"[{""C"":10,""H"":15,""O"":1,""Na"":1}]",174.10205938,174,-0.03542692,1,,1.5,0.1,0,0,0,3,2,0.0861874543445538,0.850171480229193,0.250255312174062,0.0953401781565049,0.277777777777778,0.315789473684211,0.315789473684211,2.33333333333333,-1.3,-1.5,-5 (Na1 O1),0.3,0.2,3,,-0.0123124934777934,-7,C10 H15 O1 Na1,CHNO,10,15,1,1,,,2,461,1
25586,CBZ_dark_1,239261460,6172000,6172000,175.169287,175,1,174.1620105479,290072.3,0.0000570425785855532,0.0000473647688064089,864595.9,5.22,"[{""C"":10,""H"":22,""O"":2}]",174.16197994,174,-0.17574387,1,,2.2,0.2,0,0,0,0,-2,0.0263093897404758,0.79021262052072,0.190775741716237,0.0354652467949279,0,0,-0.111111111111111,0,-1.8,-5.5,2 (O2),0,0,0,"[""surfactants_Terrabase_neg""]",-0.0037584842486394,-7,C10 H22 O2,CHO,10,22,2,,,,1,475,1
25586,CBZ_dark_1,239261507,6273000,6273000,176.047031,176,1,175.0397545479,247544.2,0.0000486794481303382,0.0000404205220642145,746268.4,4.13,"[{""C"":11,""H"":6,""N"":1,""Na"":1}]",175.03979347,175,0.22236144,1,,0.545,0,0.091,0,0,9,9,0.1495454905359,0.912265679892869,0.319846788643758,0.158747226058694,0.85,0.85,0.85,2.78947368421053,-0.272727272727273,6,-16 (N1 Na1),0.818181818181818,1.5,0,,-0.02492424842265,-6,C11 H6 N1 Na1,CHN,11,6,,1,,1,1,484,1
25586,CBZ_dark_1,239261578,6531000,6531000,177.088595,177,1,176.0813185479,2464769.5,0.000484695739300252,0.000402462549952505,1001601.3,58.51,"[{""C"":9,""H"":13,""O"":2,""Na"":1}]",176.08132394,176,0.03062278,1,,1.444,0.222,0,0,0,3,1,0.109144514953982,0.87046086292105,0.286369779313048,0.118400691590665,0.214285714285714,0.3125,0.3125,2.2,-1,-1.5,-5 (Na1 O2),0.333333333333333,0.230769230769231,1.5,,-0.0218289029907965,-5,C9 H13 O2 Na1,CHNO,9,13,2,1,,,2,71,2
25586,CBZ_dark_1,239261651,6697000,6697000,178.083858,178,1,177.0765815479,590349.7,0.000116091985188547,0.0000963958883886287,1048209.1,12.42,"[{""C"":8,""H"":12,""N"":1,""O"":2,""Na"":1}]",177.0765729,177,-0.04883706,1,,1.5,0.25,0.125,0,0,3,1,0.114992839050672,0.874967751068283,0.298834276225847,0.124301036711785,0.1,0.25,0.25,2.2,-0.625,-1,-4 (N1 Na1 O2),0.375,0.25,1.5,,-0.0287482097626679,-4,C8 H12 N1 O2 Na1,CHNO,8,12,2,1,,1,2,235,1
25586,CBZ_dark_1,239261705,6914000,6914000,179.067871,179,1,178.0605945479,521921.3,0.000102635573168221,0.0000852224831865723,1161214.7,10.75,"[{""C"":8,""H"":11,""O"":3,""Na"":1}]",178.06058849,178,-0.03402157,1,,1.375,0.375,0,0,0,3,0,0.132078601245553,0.890727240295149,0.322461425030355,0.141438231909092,0.1,0.307692307692308,0.307692307692308,2,-0.625,-1.5,-5 (Na1 O3),0.375,0.272727272727273,1,,-0.0440262004151843,-3,C8 H11 O3 Na1,CHNO,8,11,3,1,,,2,370,2
25586,CBZ_dark_1,239261709,6947000,6947000,179.10425,179,1,178.0969735479,8480384,0.00166766344375408,0.00138472866092201,980378.4,204.15,"[{""C"":9,""H"":15,""O"":2,""Na"":1}]",178.096974,178,0.0025385,1,,1.667,0.222,0,0,0,2,0,0.0957402225278656,0.854339829212734,0.286364881637496,0.10510175467158,0.0714285714285714,0.1875,0.1875,1.66666666666667,-1.22222222222222,-1.5,-3 (Na1 O2),0.222222222222222,0.133333333333333,1,,-0.0319134075092885,-3,C9 H15 O2 Na1,CHNO,9,15,2,1,,,2,20,2
