measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C13 H15 N1 O3,CHNO,13,15,3,1,0
7937,C31 H46 O8,CHO,31,46,8,0,0
7937,C7 H10 O6,CHO,7,10,6,0,0
7937,C21 H20 O6,CHO,21,20,6,0,0
7937,C24 H14 O13,CHO,24,14,13,0,0
7937,C16 H20 N2 O6,CHNO,16,20,6,2,0
7937,C22 H29 N1 O10,CHNO,22,29,10,1,0
7937,C23 H16 O8,CHO,23,16,8,0,0
7937,C26 H38 O7,CHO,26,38,7,0,0
7937,C30 H26 O14,CHO,30,26,14,0,0
7937,C20 H17 N1 O6,CHNO,20,17,6,1,0
7937,C30 H32 O12,CHO,30,32,12,0,0
7937,C23 H24 O6,CHO,23,24,6,0,0
7937,C28 H28 O11,CHO,28,28,11,0,0
7937,C15 H16 N2 O7,CHNO,15,16,7,2,0
7937,C18 H32 O6,CHO,18,32,6,0,0
7937,C13 H6 O5,CHO,13,6,5,0,0
7937,C19 H24 O10 S1,CHOS,19,24,10,0,1
7937,C29 H38 O12,CHO,29,38,12,0,0
7937,C9 H6 O8,CHO,9,6,8,0,0
7937,C9 H4 O6,CHO,9,4,6,0,0
7937,C22 H24 O9,CHO,22,24,9,0,0
7937,C19 H16 O4,CHO,19,16,4,0,0
7937,C19 H30 O9,CHO,19,30,9,0,0
7937,C18 H34 O6,CHO,18,34,6,0,0
7937,C30 H40 O9,CHO,30,40,9,0,0
7937,C23 H34 O5,CHO,23,34,5,0,0
7937,C14 H15 N1 O3,CHNO,14,15,3,1,0
7937,C29 H32 O13,CHO,29,32,13,0,0
7937,C18 H27 N1 O6,CHNO,18,27,6,1,0
7937,C10 H12 O9,CHO,10,12,9,0,0
7937,C13 H6 O10,CHO,13,6,10,0,0
7937,C25 H20 O11,CHO,25,20,11,0,0
7937,C20 H25 N1 O9,CHNO,20,25,9,1,0
7937,C23 H16 O6 S1,CHOS,23,16,6,0,1
7937,C22 H32 O6,CHO,22,32,6,0,0
7937,C20 H19 N1 O8,CHNO,20,19,8,1,0
7937,C23 H26 O13,CHO,23,26,13,0,0
7937,C16 H20 O3,CHO,16,20,3,0,0
7937,C20 H27 N1 O10,CHNO,20,27,10,1,0
7937,C23 H16 O11,CHO,23,16,11,0,0
7937,C24 H24 O13,CHO,24,24,13,0,0
7937,C15 H13 N1 O6,CHNO,15,13,6,1,0
7937,C15 H18 N2 O2,CHNO,15,18,2,2,0
7937,C28 H36 O6,CHO,28,36,6,0,0
7937,C16 H14 N2 O7,CHNO,16,14,7,2,0
7937,C19 H20 O14,CHO,19,20,14,0,0
7937,C24 H16 O10,CHO,24,16,10,0,0
7937,C11 H10 O8,CHO,11,10,8,0,0
7937,C29 H34 O9,CHO,29,34,9,0,0
7937,C12 H13 N1 O7,CHNO,12,13,7,1,0
7937,C17 H12 O6,CHO,17,12,6,0,0
7937,C16 H22 N2 O8,CHNO,16,22,8,2,0
