measurement_id,peak_relint_tic,formula_string,C,H,N,O,S,formula_mass_nominal,timepoint
21678,4.46094314979761e-05,C24 H19 N1 O24 S1,24,19,1,24,1,737,1
21678,0.0002119897202555,C23 13C1 H20 O14,23,20,0,14,0,533,1
21678,4.41717721514772e-05,C28 H25 N1 O23 S1,28,25,1,23,1,775,1
21678,2.12382480286598e-05,C23 13C1 H30 O12,23,30,0,12,0,511,1
21678,0.0002799882077658,C14 H10 O8,14,10,0,8,0,306,1
21678,0.0006328776467373,C19 H24 O10,19,24,0,10,0,412,1
21678,0.0005877974263008,C28 H24 O19,28,24,0,19,0,664,1
21678,0.0001296217081456,C22 H18 O12 S1,22,18,0,12,1,506,1
21678,1.24288279754756e-05,C8 H7 N1 O5,8,7,1,5,0,197,1
21678,0.0006023583178856,C23 H26 O13,23,26,0,13,0,510,1
21678,2.54186794359553e-05,C28 H11 N1 O14,28,11,1,14,0,585,1
21678,1.11664161552954e-05,C14 H22 O2,14,22,0,2,0,222,1
21678,0.0002949985284205,C31 H28 O21,31,28,0,21,0,736,1
21678,5.7759699930081e-05,C25 13C1 H30 O16,25,30,0,16,0,599,1
21678,9.3513504312394e-05,C16 H22 O15 S1,16,22,0,15,1,486,1
21678,0.0002564008101173,C28 H22 O15,28,22,0,15,0,598,1
21678,0.0001050168832912,C28 H20 O15 S1,28,20,0,15,1,628,1
21678,3.17499188269418e-05,C11 H8 O10,11,8,0,10,0,300,1
21678,4.02511464917049e-05,C43 H80 O8,43,80,0,8,0,725,1
21678,5.62758429425487e-05,C16 H14 O14 S1,16,14,0,14,1,462,1
21678,3.13828778212127e-05,C36 H71 N1 O4,36,71,1,4,0,582,1
21678,0.0005549354865646,C24 H26 O16,24,26,0,16,0,570,1
21678,3.06814894860366e-05,C25 H18 O26,25,18,0,26,0,734,1
21678,5.21477214173048e-05,C37 H30 O30,37,30,0,30,0,954,1
21678,3.79037405346365e-05,C42 H78 O5,42,78,0,5,0,663,1
21678,1.23712871052188e-05,C12 H26 O4 34S1,12,26,0,4,0,268,1
21678,3.9468241923665e-05,C16 13C1 H10 O12,16,10,0,12,0,407,1
21678,2.35969877935061e-05,C35 H72 O2 S1,35,72,0,2,1,557,1
21678,0.0017510375565934,C18 H14 O12,18,14,0,12,0,422,1
21678,4.78578751733846e-05,C20 13C1 H12 O16,20,12,0,16,0,521,1
21678,2.74823042828935e-05,C45 H75 N1,45,75,1,0,0,630,1
21678,4.19324732839822e-05,C14 H20 O6,14,20,0,6,0,284,1
21678,3.67250245257389e-05,C15 H20 O6,15,20,0,6,0,296,1
21678,2.45285396097095e-05,C39 13C1 H76 S1,39,76,0,0,1,590,1
21678,0.0005248830234102,C12 H8 O9,12,8,0,9,0,296,1
21678,6.92229746660196e-05,C35 13C1 H76 N2 O2 S1,35,76,2,2,1,602,1
21678,6.92229746660196e-05,C43 13C1 H72,43,72,0,0,0,602,1
21678,4.30222624933919e-05,C13 H13 N1 O7,13,13,1,7,0,295,1
21678,0.0001674853444373,C20 H10 O12,20,10,0,12,0,442,1
21678,7.00581891161112e-05,C16 H24 O9,16,24,0,9,0,360,1
21678,3.19661330060887e-05,C37 13C1 H78 O5,37,78,0,5,0,616,1
21678,8.35441126247142e-05,C23 13C1 H24 O13,23,24,0,13,0,521,1
21678,6.11685605771145e-05,C40 H78 O2 S1,40,78,0,2,1,623,1
21678,6.50708777781687e-05,C25 H14 N2 O12 S1,25,14,2,12,1,566,1
21678,4.62201399494837e-05,C31 H24 O25,31,24,0,25,0,796,1
21678,0.0001602992743904,C24 H19 N1 O14,24,19,1,14,0,545,1
21678,0.0001378592068216,C11 H8 O6,11,8,0,6,0,236,1
21678,3.76548326792073e-05,C31 13C1 H16 O20,31,16,0,20,0,721,1
21678,2.79142967255035e-05,C25 H24 O11,25,24,0,11,0,500,1
21678,0.0004254776827161,C20 H22 O15,20,22,0,15,0,502,1
21678,3.15868863612142e-05,C13 13C1 H8 O10,13,8,0,10,0,337,1
21678,3.88623191232332e-05,C23 13C1 H30 O14,23,30,0,14,0,543,1
21678,1.2943208482317e-05,C14 13C1 H16 O6,14,16,0,6,0,293,1
21678,0.0001955936236421,C24 13C1 H24 O16,24,24,0,16,0,581,1
21678,0.0001524859216747,C20 H24 O9,20,24,0,9,0,408,1
21678,4.57864038441386e-05,C34 13C1 H30 O21,34,30,0,21,0,787,1
21678,3.85288436251539e-05,C34 13C1 H32 O21,34,32,0,21,0,789,1
21678,0.0007587975588964,C23 H22 O13,23,22,0,13,0,506,1
21678,5.28713414523529e-05,C40 H76 O6,40,76,0,6,0,653,1
21678,6.77622212097268e-05,C28 H25 N1 O24,28,25,1,24,0,759,1
21678,9.43447955213317e-05,C28 H21 N1 O17,28,21,1,17,0,643,1
21678,2.2101796998196e-05,C15 H10 O6,15,10,0,6,0,286,1
21678,9.52079085751842e-05,C21 13C1 H12 O15,21,12,0,15,0,517,1
21678,7.77189713425775e-05,C27 H24 O13,27,24,0,13,0,556,1
21678,0.0002855731595062,C19 13C1 H16 O14,19,16,0,14,0,481,1
21678,2.97124489210295e-05,C44 H72 O2 S1,44,72,0,2,1,665,1
21678,1.1994220038763e-05,C16 H14 O4,16,14,0,4,0,270,1
21678,4.43204193996407e-05,C41 H76 S1 34S1,41,76,0,0,1,635,1
21678,3.89211677405413e-05,C23 H14 O13 S1,23,14,0,13,1,530,1
21678,3.64966047074467e-05,C18 H21 N1 O9,18,21,1,9,0,395,1
21678,2.55224273686911e-05,C40 H75 N1 O4,40,75,1,4,0,634,1
21678,8.01688174853305e-05,C29 H14 O18,29,14,0,18,0,650,1
21678,8.91451932453962e-05,C30 H16 N2 O17,30,16,2,17,0,676,1
21678,0.0001031917043233,C25 H20 O12,25,20,0,12,0,512,1
