timepoint,cd_name,empty_slots,free_bikes,slots
6,Kingsbridge Heights and Bedford (CD7),526,393,1026
6,Long Island City and Astoria (CD1),1253,1616,3046
6,Lower East Side and Chinatown (CD3),1063,2416,3864
6,Midtown (CD5),3259,431,4178
6,Morningside Heights and Hamilton Heights (CD9),694,290,1094
6,Morrisania and Crotona (CD3),326,424,830
6,Mott Haven and Melrose (CD1),479,571,1151
6,Park Slope and Carroll Gardens (CD6),544,1347,2132
6,Ridgewood and Maspeth (CD5),656,659,1380
6,Riverdale and Fieldston (CD8),156,10,167
6,South Crown Heights and Lefferts Gardens (CD9),420,648,1128
6,Stuyvesant Town and Turtle Bay (CD6),1428,793,2496
6,Sunset Park (CD7),527,1098,1699
6,Upper East Side (CD8),1086,780,2088
6,Upper West Side (CD7),709,899,1884
6,Washington Heights and Inwood (CD12),780,615,1515
6,Woodside and Sunnyside (CD2),1083,1013,2218
7,Bay Ridge and Dyker Heights (CD10),22,109,146
7,Bedford Stuyvesant (CD3),761,489,1372
7,Belmont and East Tremont (CD6),295,98,425
7,Borough Park (CD12),22,219,252
7,Brownsville (CD16),344,104,459
7,Bushwick (CD4),805,551,1449
7,Central Harlem (CD10),349,640,1092
7,Clinton and Chelsea (CD4),1359,1552,3438
7,Crown Heights and Prospect Heights (CD8),596,400,1108
7,East Flatbush (CD17),20,545,589
7,East Harlem (CD11),414,685,1209
7,East New York and Starrett City (CD5),49,12,66
7,Elmhurst and Corona (CD4),296,682,1013
7,Financial District (CD1),962,1634,2809
7,Flatbush and Midwood (CD14),30,461,526
7,Fordham and University Heights (CD5),580,297,955
7,Fort Greene and Brooklyn Heights (CD2),1277,1755,3275
7,Greenpoint and Williamsburg (CD1),1065,2179,3453
7,Greenwich Village and Soho (CD2),1058,1641,3060
7,Highbridge and Concourse (CD4),561,623,1289
7,Hunts Point and Longwood (CD2),229,236,491
7,Jackson Heights (CD3),907,807,1783
7,Kingsbridge Heights and Bedford (CD7),525,396,1026
7,Long Island City and Astoria (CD1),1234,1636,3046
7,Lower East Side and Chinatown (CD3),1086,2406,3864
7,Midtown (CD5),3230,478,4178
7,Morningside Heights and Hamilton Heights (CD9),698,282,1094
7,Morrisania and Crotona (CD3),325,427,830
7,Mott Haven and Melrose (CD1),466,584,1151
7,Park Slope and Carroll Gardens (CD6),546,1351,2132
7,Ridgewood and Maspeth (CD5),644,674,1380
7,Riverdale and Fieldston (CD8),156,10,167
7,South Crown Heights and Lefferts Gardens (CD9),419,653,1128
7,Stuyvesant Town and Turtle Bay (CD6),1404,825,2496
7,Sunset Park (CD7),527,1100,1699
7,Upper East Side (CD8),1069,796,2088
7,Upper West Side (CD7),692,927,1884
7,Washington Heights and Inwood (CD12),781,614,1515
7,Woodside and Sunnyside (CD2),1084,1011,2218
8,Bay Ridge and Dyker Heights (CD10),22,110,146
8,Bedford Stuyvesant (CD3),752,500,1372
8,Belmont and East Tremont (CD6),293,100,425
8,Borough Park (CD12),22,219,252
8,Brownsville (CD16),341,107,459
8,Bushwick (CD4),802,560,1449
8,Central Harlem (CD10),344,649,1092
8,Clinton and Chelsea (CD4),1374,1570,3438
8,Crown Heights and Prospect Heights (CD8),581,425,1108
8,East Flatbush (CD17),20,545,589
8,East Harlem (CD11),419,682,1209
8,East New York and Starrett City (CD5),49,12,66
8,Elmhurst and Corona (CD4),297,681,1013
8,Financial District (CD1),970,1622,2809
8,Flatbush and Midwood (CD14),29,462,526
8,Fordham and University Heights (CD5),579,298,955
8,Fort Greene and Brooklyn Heights (CD2),1289,1752,3275
8,Greenpoint and Williamsburg (CD1),1074,2182,3453
8,Greenwich Village and Soho (CD2),1086,1620,3060
8,Highbridge and Concourse (CD4),565,622,1289
8,Hunts Point and Longwood (CD2),232,237,491
8,Jackson Heights (CD3),906,808,1783
8,Kingsbridge Heights and Bedford (CD7),522,398,1026
8,Long Island City and Astoria (CD1),1226,1645,3046
8,Lower East Side and Chinatown (CD3),1088,2420,3864
8,Midtown (CD5),3264,472,4178
8,Morningside Heights and Hamilton Heights (CD9),700,280,1094
8,Morrisania and Crotona (CD3),324,428,830
8,Mott Haven and Melrose (CD1),465,586,1151
8,Park Slope and Carroll Gardens (CD6),545,1353,2132
8,Ridgewood and Maspeth (CD5),641,678,1380
8,Riverdale and Fieldston (CD8),156,10,167
8,South Crown Heights and Lefferts Gardens (CD9),412,662,1128
8,Stuyvesant Town and Turtle Bay (CD6),1407,826,2496
8,Sunset Park (CD7),526,1102,1699
8,Upper East Side (CD8),1101,777,2088
