formula_string,transformation_unit,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C19 H23 N1 O10,-C1 -H2,20,25,10,1,0,-1,-2,0,0,0,C20 H25 N1 O10
C19 H23 N1 O10,-C2 -H4 -O1,21,27,11,1,0,-2,-4,-1,0,0,C21 H27 N1 O11
C19 H23 N1 O10,-H2,19,25,10,1,0,0,-2,0,0,0,C19 H25 N1 O10
C19 H23 N1 O10,-C1 -O2,20,23,12,1,0,-1,0,-2,0,0,C20 H23 N1 O12
C19 H23 N1 O10,-H2 -O1,19,25,11,1,0,0,-2,-1,0,0,C19 H25 N1 O11
C19 H23 N1 O10,-C2 -H2,21,25,10,1,0,-2,-2,0,0,0,C21 H25 N1 O10
C19 H23 N1 O10,H1 -O1 N1,19,22,11,0,0,0,1,-1,1,0,C19 H22 O11
C23 H14 O8 S1,-C1,24,14,8,0,1,-1,0,0,0,0,C24 H14 O8 S1
C23 H14 O8 S1,-C1 -O1,24,14,9,0,1,-1,0,-1,0,0,C24 H14 O9 S1
C23 H14 O8 S1,-C1 -H2,24,16,8,0,1,-1,-2,0,0,0,C24 H16 O8 S1
C23 H14 O8 S1,-C2 -H4 -O1,25,18,9,0,1,-2,-4,-1,0,0,C25 H18 O9 S1
C23 H14 O8 S1,-C4 -H4 -O1,27,18,9,0,1,-4,-4,-1,0,0,C27 H18 O9 S1
C23 H14 O8 S1,-H2,23,16,8,0,1,0,-2,0,0,0,C23 H16 O8 S1
C23 H14 O8 S1,-H2 -O1,23,16,9,0,1,0,-2,-1,0,0,C23 H16 O9 S1
C23 H14 O8 S1,-C2 -H2,25,16,8,0,1,-2,-2,0,0,0,C25 H16 O8 S1
C26 H30 O11,-C1,27,30,11,0,0,-1,0,0,0,0,C27 H30 O11
C26 H30 O11,-C1 -O1,27,30,12,0,0,-1,0,-1,0,0,C27 H30 O12
C26 H30 O11,-C1 -H2,27,32,11,0,0,-1,-2,0,0,0,C27 H32 O11
C26 H30 O11,-C2 -H4 -O1,28,34,12,0,0,-2,-4,-1,0,0,C28 H34 O12
C26 H30 O11,-C4 -H4 -O1,30,34,12,0,0,-4,-4,-1,0,0,C30 H34 O12
C26 H30 O11,-H2,26,32,11,0,0,0,-2,0,0,0,C26 H32 O11
C26 H30 O11,-C1 -O2,27,30,13,0,0,-1,0,-2,0,0,C27 H30 O13
C26 H30 O11,-H2 -O1,26,32,12,0,0,0,-2,-1,0,0,C26 H32 O12
C26 H30 O11,-C2 -H2,28,32,11,0,0,-2,-2,0,0,0,C28 H32 O11
C26 H30 O11,H1 -O2 -N1,26,29,13,1,0,0,1,-2,-1,0,C26 H29 N1 O13
C17 H24 O2,-C1,18,24,2,0,0,-1,0,0,0,0,C18 H24 O2
C17 H24 O2,-C1 -H2,18,26,2,0,0,-1,-2,0,0,0,C18 H26 O2
C17 H24 O2,-C2 -H4 -O1,19,28,3,0,0,-2,-4,-1,0,0,C19 H28 O3
C17 H24 O2,-H2,17,26,2,0,0,0,-2,0,0,0,C17 H26 O2
C17 H24 O2,-C2 -H2,19,26,2,0,0,-2,-2,0,0,0,C19 H26 O2
C17 H24 O2,H1 -O2 -N1,17,23,4,1,0,0,1,-2,-1,0,C17 H23 N1 O4
C32 H38 O12,-C1,33,38,12,0,0,-1,0,0,0,0,C33 H38 O12
C32 H38 O12,-C1 -O1,33,38,13,0,0,-1,0,-1,0,0,C33 H38 O13
C32 H38 O12,-C1 -H2,33,40,12,0,0,-1,-2,0,0,0,C33 H40 O12
C32 H38 O12,-C2 -H4 -O1,34,42,13,0,0,-2,-4,-1,0,0,C34 H42 O13
C32 H38 O12,-H2,32,40,12,0,0,0,-2,0,0,0,C32 H40 O12
C32 H38 O12,-C1 -O2,33,38,14,0,0,-1,0,-2,0,0,C33 H38 O14
C32 H38 O12,-H2 -O1,32,40,13,0,0,0,-2,-1,0,0,C32 H40 O13
C32 H38 O12,-C2 -H2,34,40,12,0,0,-2,-2,0,0,0,C34 H40 O12
C21 H30 O13,-C1,22,30,13,0,0,-1,0,0,0,0,C22 H30 O13
C21 H30 O13,-C1 -O1,22,30,14,0,0,-1,0,-1,0,0,C22 H30 O14
C21 H30 O13,-C1 -H2,22,32,13,0,0,-1,-2,0,0,0,C22 H32 O13
C21 H30 O13,-C2 -H4 -O1,23,34,14,0,0,-2,-4,-1,0,0,C23 H34 O14
C21 H30 O13,-C4 -H4 -O1,25,34,14,0,0,-4,-4,-1,0,0,C25 H34 O14
C21 H30 O13,-H2,21,32,13,0,0,0,-2,0,0,0,C21 H32 O13
C21 H30 O13,-C2 -H2,23,32,13,0,0,-2,-2,0,0,0,C23 H32 O13
C21 H14 O11,-C1,22,14,11,0,0,-1,0,0,0,0,C22 H14 O11
C21 H14 O11,-C1 -O1,22,14,12,0,0,-1,0,-1,0,0,C22 H14 O12
C21 H14 O11,-C1 -H2,22,16,11,0,0,-1,-2,0,0,0,C22 H16 O11
C21 H14 O11,-C2 -H4 -O1,23,18,12,0,0,-2,-4,-1,0,0,C23 H18 O12
C21 H14 O11,-C4 -H4 -O1,25,18,12,0,0,-4,-4,-1,0,0,C25 H18 O12
C21 H14 O11,-H2,21,16,11,0,0,0,-2,0,0,0,C21 H16 O11
C21 H14 O11,-C1 -O2,22,14,13,0,0,-1,0,-2,0,0,C22 H14 O13
C21 H14 O11,-H2 -O1,21,16,12,0,0,0,-2,-1,0,0,C21 H16 O12
C21 H14 O11,-C2 -H2,23,16,11,0,0,-2,-2,0,0,0,C23 H16 O11
C24 H24 O15,-C1,25,24,15,0,0,-1,0,0,0,0,C25 H24 O15
C24 H24 O15,-C1 -O1,25,24,16,0,0,-1,0,-1,0,0,C25 H24 O16
C24 H24 O15,-C1 -H2,25,26,15,0,0,-1,-2,0,0,0,C25 H26 O15
C24 H24 O15,-C2 -H4 -O1,26,28,16,0,0,-2,-4,-1,0,0,C26 H28 O16
C24 H24 O15,-C4 -H4 -O1,28,28,16,0,0,-4,-4,-1,0,0,C28 H28 O16
C24 H24 O15,-H2,24,26,15,0,0,0,-2,0,0,0,C24 H26 O15
C24 H24 O15,-H2 -O1,24,26,16,0,0,0,-2,-1,0,0,C24 H26 O16
C24 H24 O15,-C2 -H2,26,26,15,0,0,-2,-2,0,0,0,C26 H26 O15
C6 H8 O5,-C1,7,8,5,0,0,-1,0,0,0,0,C7 H8 O5
C6 H8 O5,-C1 -O1,7,8,6,0,0,-1,0,-1,0,0,C7 H8 O6
C6 H8 O5,-C1 -H2,7,10,5,0,0,-1,-2,0,0,0,C7 H10 O5
C6 H8 O5,-C2 -H4 -O1,8,12,6,0,0,-2,-4,-1,0,0,C8 H12 O6
C6 H8 O5,-C4 -H4 -O1,10,12,6,0,0,-4,-4,-1,0,0,C10 H12 O6
C6 H8 O5,-H2,6,10,5,0,0,0,-2,0,0,0,C6 H10 O5
C6 H8 O5,-C1 -O2,7,8,7,0,0,-1,0,-2,0,0,C7 H8 O7
C30 H26 O15,-C1,31,26,15,0,0,-1,0,0,0,0,C31 H26 O15
C30 H26 O15,-C1 -O1,31,26,16,0,0,-1,0,-1,0,0,C31 H26 O16
C30 H26 O15,-C1 -H2,31,28,15,0,0,-1,-2,0,0,0,C31 H28 O15
C30 H26 O15,-C2 -H4 -O1,32,30,16,0,0,-2,-4,-1,0,0,C32 H30 O16
C30 H26 O15,-C4 -H4 -O1,34,30,16,0,0,-4,-4,-1,0,0,C34 H30 O16
C30 H26 O15,-H2,30,28,15,0,0,0,-2,0,0,0,C30 H28 O15
C30 H26 O15,-C2 -H2,32,28,15,0,0,-2,-2,0,0,0,C32 H28 O15
C26 H26 O12,-C1,27,26,12,0,0,-1,0,0,0,0,C27 H26 O12
C26 H26 O12,-C1 -O1,27,26,13,0,0,-1,0,-1,0,0,C27 H26 O13
C26 H26 O12,-C1 -H2,27,28,12,0,0,-1,-2,0,0,0,C27 H28 O12
C26 H26 O12,-C2 -H4 -O1,28,30,13,0,0,-2,-4,-1,0,0,C28 H30 O13
C26 H26 O12,-C4 -H4 -O1,30,30,13,0,0,-4,-4,-1,0,0,C30 H30 O13
C26 H26 O12,-H2,26,28,12,0,0,0,-2,0,0,0,C26 H28 O12
C26 H26 O12,-C1 -O2,27,26,14,0,0,-1,0,-2,0,0,C27 H26 O14
C26 H26 O12,-H2 -O1,26,28,13,0,0,0,-2,-1,0,0,C26 H28 O13
C26 H26 O12,-C2 -H2,28,28,12,0,0,-2,-2,0,0,0,C28 H28 O12
C29 H28 O14,-C1,30,28,14,0,0,-1,0,0,0,0,C30 H28 O14
C29 H28 O14,-C1 -O1,30,28,15,0,0,-1,0,-1,0,0,C30 H28 O15
C29 H28 O14,-C1 -H2,30,30,14,0,0,-1,-2,0,0,0,C30 H30 O14
C29 H28 O14,-C2 -H4 -O1,31,32,15,0,0,-2,-4,-1,0,0,C31 H32 O15
C29 H28 O14,-C4 -H4 -O1,33,32,15,0,0,-4,-4,-1,0,0,C33 H32 O15
C29 H28 O14,-H2,29,30,14,0,0,0,-2,0,0,0,C29 H30 O14
C29 H28 O14,-H2 -O1,29,30,15,0,0,0,-2,-1,0,0,C29 H30 O15
C29 H28 O14,-C2 -H2,31,30,14,0,0,-2,-2,0,0,0,C31 H30 O14
C14 H8 O8,-C1,15,8,8,0,0,-1,0,0,0,0,C15 H8 O8
C14 H8 O8,-C1 -O1,15,8,9,0,0,-1,0,-1,0,0,C15 H8 O9
C14 H8 O8,-C1 -H2,15,10,8,0,0,-1,-2,0,0,0,C15 H10 O8
C14 H8 O8,-C2 -H4 -O1,16,12,9,0,0,-2,-4,-1,0,0,C16 H12 O9
C14 H8 O8,-C4 -H4 -O1,18,12,9,0,0,-4,-4,-1,0,0,C18 H12 O9
C14 H8 O8,-H2,14,10,8,0,0,0,-2,0,0,0,C14 H10 O8
C14 H8 O8,-C1 -O2,15,8,10,0,0,-1,0,-2,0,0,C15 H8 O10
C14 H8 O8,-H2 -O1,14,10,9,0,0,0,-2,-1,0,0,C14 H10 O9
C14 H8 O8,-C2 -H2,16,10,8,0,0,-2,-2,0,0,0,C16 H10 O8
C29 H30 O15,-C1,30,30,15,0,0,-1,0,0,0,0,C30 H30 O15
C29 H30 O15,-C1 -O1,30,30,16,0,0,-1,0,-1,0,0,C30 H30 O16
C29 H30 O15,-C1 -H2,30,32,15,0,0,-1,-2,0,0,0,C30 H32 O15
C29 H30 O15,-C2 -H4 -O1,31,34,16,0,0,-2,-4,-1,0,0,C31 H34 O16
C29 H30 O15,-C4 -H4 -O1,33,34,16,0,0,-4,-4,-1,0,0,C33 H34 O16
C29 H30 O15,-H2,29,32,15,0,0,0,-2,0,0,0,C29 H32 O15
C29 H30 O15,-C1 -O2,30,30,17,0,0,-1,0,-2,0,0,C30 H30 O17
C29 H30 O15,-H2 -O1,29,32,16,0,0,0,-2,-1,0,0,C29 H32 O16
C29 H30 O15,-C2 -H2,31,32,15,0,0,-2,-2,0,0,0,C31 H32 O15
C24 H20 O13,-C1,25,20,13,0,0,-1,0,0,0,0,C25 H20 O13
C24 H20 O13,-C1 -O1,25,20,14,0,0,-1,0,-1,0,0,C25 H20 O14
C24 H20 O13,-C1 -H2,25,22,13,0,0,-1,-2,0,0,0,C25 H22 O13
C24 H20 O13,-C2 -H4 -O1,26,24,14,0,0,-2,-4,-1,0,0,C26 H24 O14
C24 H20 O13,-C4 -H4 -O1,28,24,14,0,0,-4,-4,-1,0,0,C28 H24 O14
C24 H20 O13,-H2,24,22,13,0,0,0,-2,0,0,0,C24 H22 O13
C24 H20 O13,-C1 -O2,25,20,15,0,0,-1,0,-2,0,0,C25 H20 O15
C24 H20 O13,-H2 -O1,24,22,14,0,0,0,-2,-1,0,0,C24 H22 O14
C24 H20 O13,-C2 -H2,26,22,13,0,0,-2,-2,0,0,0,C26 H22 O13
C17 H10 O5,-C1,18,10,5,0,0,-1,0,0,0,0,C18 H10 O5
C17 H10 O5,-C1 -O1,18,10,6,0,0,-1,0,-1,0,0,C18 H10 O6
C17 H10 O5,-C1 -H2,18,12,5,0,0,-1,-2,0,0,0,C18 H12 O5
C17 H10 O5,-C2 -H4 -O1,19,14,6,0,0,-2,-4,-1,0,0,C19 H14 O6
C17 H10 O5,-C4 -H4 -O1,21,14,6,0,0,-4,-4,-1,0,0,C21 H14 O6
C17 H10 O5,-H2,17,12,5,0,0,0,-2,0,0,0,C17 H12 O5
C17 H10 O5,-C1 -O2,18,10,7,0,0,-1,0,-2,0,0,C18 H10 O7
C17 H10 O5,-S1,17,10,5,0,1,0,0,0,0,-1,C17 H10 O5 S1
C17 H10 O5,-H2 -O1,17,12,6,0,0,0,-2,-1,0,0,C17 H12 O6
C17 H10 O5,-C2 -H2,19,12,5,0,0,-2,-2,0,0,0,C19 H12 O5
C17 H10 O5,H1 -O2 -N1,17,9,7,1,0,0,1,-2,-1,0,C17 H9 N1 O7
C27 H38 O13,-C1,28,38,13,0,0,-1,0,0,0,0,C28 H38 O13
C27 H38 O13,-C1 -O1,28,38,14,0,0,-1,0,-1,0,0,C28 H38 O14
C27 H38 O13,-C1 -H2,28,40,13,0,0,-1,-2,0,0,0,C28 H40 O13
C27 H38 O13,-C2 -H4 -O1,29,42,14,0,0,-2,-4,-1,0,0,C29 H42 O14
C27 H38 O13,-C4 -H4 -O1,31,42,14,0,0,-4,-4,-1,0,0,C31 H42 O14
C27 H38 O13,-H2,27,40,13,0,0,0,-2,0,0,0,C27 H40 O13
C27 H38 O13,-C1 -O2,28,38,15,0,0,-1,0,-2,0,0,C28 H38 O15
C27 H38 O13,-H2 -O1,27,40,14,0,0,0,-2,-1,0,0,C27 H40 O14
C27 H38 O13,-C2 -H2,29,40,13,0,0,-2,-2,0,0,0,C29 H40 O13
C15 H12 O6,-C1 -O1,16,12,7,0,0,-1,0,-1,0,0,C16 H12 O7
C15 H12 O6,-C2 -H4 -O1,17,16,7,0,0,-2,-4,-1,0,0,C17 H16 O7
C15 H12 O6,-C4 -H4 -O1,19,16,7,0,0,-4,-4,-1,0,0,C19 H16 O7
C15 H12 O6,-H2,15,14,6,0,0,0,-2,0,0,0,C15 H14 O6
C15 H12 O6,-C1 -O2,16,12,8,0,0,-1,0,-2,0,0,C16 H12 O8
C15 H12 O6,-O3 -S1,15,12,9,0,1,0,0,-3,0,-1,C15 H12 O9 S1
C15 H12 O6,-H2 -O1,15,14,7,0,0,0,-2,-1,0,0,C15 H14 O7
C15 H12 O6,H1 -O2 -N1,15,11,8,1,0,0,1,-2,-1,0,C15 H11 N1 O8
C14 H10 O4,-C1,15,10,4,0,0,-1,0,0,0,0,C15 H10 O4
C14 H10 O4,-C1 -O1,15,10,5,0,0,-1,0,-1,0,0,C15 H10 O5
C14 H10 O4,-C1 -H2,15,12,4,0,0,-1,-2,0,0,0,C15 H12 O4
C14 H10 O4,-C2 -H4 -O1,16,14,5,0,0,-2,-4,-1,0,0,C16 H14 O5
C14 H10 O4,-C4 -H4 -O1,18,14,5,0,0,-4,-4,-1,0,0,C18 H14 O5
C14 H10 O4,-H2,14,12,4,0,0,0,-2,0,0,0,C14 H12 O4
C14 H10 O4,-C1 -O2,15,10,6,0,0,-1,0,-2,0,0,C15 H10 O6
C14 H10 O4,-O3 -S1,14,10,7,0,1,0,0,-3,0,-1,C14 H10 O7 S1
C14 H10 O4,-H2 -O1,14,12,5,0,0,0,-2,-1,0,0,C14 H12 O5
C14 H10 O4,-C2 -H2,16,12,4,0,0,-2,-2,0,0,0,C16 H12 O4
C14 H10 O4,H1 -O2 -N1,14,9,6,1,0,0,1,-2,-1,0,C14 H9 N1 O6
C15 H15 N1 O4,-C1,16,15,4,1,0,-1,0,0,0,0,C16 H15 N1 O4
C15 H15 N1 O4,-C1 -O1,16,15,5,1,0,-1,0,-1,0,0,C16 H15 N1 O5
C15 H15 N1 O4,-C1 -H2,16,17,4,1,0,-1,-2,0,0,0,C16 H17 N1 O4
C15 H15 N1 O4,-C2 -H4 -O1,17,19,5,1,0,-2,-4,-1,0,0,C17 H19 N1 O5
C15 H15 N1 O4,-C4 -H4 -O1,19,19,5,1,0,-4,-4,-1,0,0,C19 H19 N1 O5
C15 H15 N1 O4,-H2,15,17,4,1,0,0,-2,0,0,0,C15 H17 N1 O4
C15 H15 N1 O4,-C1 -O2,16,15,6,1,0,-1,0,-2,0,0,C16 H15 N1 O6
C15 H15 N1 O4,-H2 -O1,15,17,5,1,0,0,-2,-1,0,0,C15 H17 N1 O5
C15 H15 N1 O4,-C2 -H2,17,17,4,1,0,-2,-2,0,0,0,C17 H17 N1 O4
C15 H15 N1 O4,H1 -O1 N1,15,14,5,0,0,0,1,-1,1,0,C15 H14 O5
C15 H15 N1 O4,H1 -O2 -N1,15,14,6,2,0,0,1,-2,-1,0,C15 H14 N2 O6
C21 H16 O5 S1,-C1,22,16,5,0,1,-1,0,0,0,0,C22 H16 O5 S1
C21 H16 O5 S1,-C1 -O1,22,16,6,0,1,-1,0,-1,0,0,C22 H16 O6 S1
C21 H16 O5 S1,-C1 -H2,22,18,5,0,1,-1,-2,0,0,0,C22 H18 O5 S1
C21 H16 O5 S1,-C2 -H4 -O1,23,20,6,0,1,-2,-4,-1,0,0,C23 H20 O6 S1
C21 H16 O5 S1,-C4 -H4 -O1,25,20,6,0,1,-4,-4,-1,0,0,C25 H20 O6 S1
C21 H16 O5 S1,-H2,21,18,5,0,1,0,-2,0,0,0,C21 H18 O5 S1
C21 H16 O5 S1,-C1 -O2,22,16,7,0,1,-1,0,-2,0,0,C22 H16 O7 S1
C21 H16 O5 S1,-C2 -H2,23,18,5,0,1,-2,-2,0,0,0,C23 H18 O5 S1
C14 H16 N2 O6,-C1,15,16,6,2,0,-1,0,0,0,0,C15 H16 N2 O6
C14 H16 N2 O6,-C1 -O1,15,16,7,2,0,-1,0,-1,0,0,C15 H16 N2 O7
C14 H16 N2 O6,-C1 -H2,15,18,6,2,0,-1,-2,0,0,0,C15 H18 N2 O6
C14 H16 N2 O6,-C2 -H4 -O1,16,20,7,2,0,-2,-4,-1,0,0,C16 H20 N2 O7
C14 H16 N2 O6,-C4 -H4 -O1,18,20,7,2,0,-4,-4,-1,0,0,C18 H20 N2 O7
C14 H16 N2 O6,-H2,14,18,6,2,0,0,-2,0,0,0,C14 H18 N2 O6
C14 H16 N2 O6,-C1 -O2,15,16,8,2,0,-1,0,-2,0,0,C15 H16 N2 O8
C14 H16 N2 O6,-H2 -O1,14,18,7,2,0,0,-2,-1,0,0,C14 H18 N2 O7
C14 H16 N2 O6,-C2 -H2,16,18,6,2,0,-2,-2,0,0,0,C16 H18 N2 O6
C14 H16 N2 O6,H1 -O1 N1,14,15,7,1,0,0,1,-1,1,0,C14 H15 N1 O7
C15 H10 O8,-C1,16,10,8,0,0,-1,0,0,0,0,C16 H10 O8
C15 H10 O8,-C1 -O1,16,10,9,0,0,-1,0,-1,0,0,C16 H10 O9
C15 H10 O8,-C1 -H2,16,12,8,0,0,-1,-2,0,0,0,C16 H12 O8
C15 H10 O8,-C2 -H4 -O1,17,14,9,0,0,-2,-4,-1,0,0,C17 H14 O9
C15 H10 O8,-C4 -H4 -O1,19,14,9,0,0,-4,-4,-1,0,0,C19 H14 O9
C15 H10 O8,-H2,15,12,8,0,0,0,-2,0,0,0,C15 H12 O8
C15 H10 O8,-C1 -O2,16,10,10,0,0,-1,0,-2,0,0,C16 H10 O10
C15 H10 O8,-S1,15,10,8,0,1,0,0,0,0,-1,C15 H10 O8 S1
C15 H10 O8,-H2 -O1,15,12,9,0,0,0,-2,-1,0,0,C15 H12 O9
C15 H10 O8,-C2 -H2,17,12,8,0,0,-2,-2,0,0,0,C17 H12 O8
C15 H13 N1 O4,-C1,16,13,4,1,0,-1,0,0,0,0,C16 H13 N1 O4
C15 H13 N1 O4,-C1 -O1,16,13,5,1,0,-1,0,-1,0,0,C16 H13 N1 O5
C15 H13 N1 O4,-C1 -H2,16,15,4,1,0,-1,-2,0,0,0,C16 H15 N1 O4
C15 H13 N1 O4,-C2 -H4 -O1,17,17,5,1,0,-2,-4,-1,0,0,C17 H17 N1 O5
C15 H13 N1 O4,-C4 -H4 -O1,19,17,5,1,0,-4,-4,-1,0,0,C19 H17 N1 O5
C15 H13 N1 O4,-H2,15,15,4,1,0,0,-2,0,0,0,C15 H15 N1 O4
C15 H13 N1 O4,-H2 -O1,15,15,5,1,0,0,-2,-1,0,0,C15 H15 N1 O5
C15 H13 N1 O4,-C2 -H2,17,15,4,1,0,-2,-2,0,0,0,C17 H15 N1 O4
C15 H13 N1 O4,H1 -O1 N1,15,12,5,0,0,0,1,-1,1,0,C15 H12 O5
C14 H22 O5 S1,-C1,15,22,5,0,1,-1,0,0,0,0,C15 H22 O5 S1
C14 H22 O5 S1,-C1 -O1,15,22,6,0,1,-1,0,-1,0,0,C15 H22 O6 S1
C14 H22 O5 S1,-C1 -H2,15,24,5,0,1,-1,-2,0,0,0,C15 H24 O5 S1
C14 H22 O5 S1,-C2 -H4 -O1,16,26,6,0,1,-2,-4,-1,0,0,C16 H26 O6 S1
C14 H22 O5 S1,-C4 -H4 -O1,18,26,6,0,1,-4,-4,-1,0,0,C18 H26 O6 S1
C14 H22 O5 S1,-H2 -O1,14,24,6,0,1,0,-2,-1,0,0,C14 H24 O6 S1
C14 H22 O5 S1,-C2 -H2,16,24,5,0,1,-2,-2,0,0,0,C16 H24 O5 S1
C14 H22 O5 S1,H1 -O2 -N1,14,21,7,1,1,0,1,-2,-1,0,C14 H21 N1 O7 S1
C21 H17 N1 O10,-C1,22,17,10,1,0,-1,0,0,0,0,C22 H17 N1 O10
C21 H17 N1 O10,-C1 -O1,22,17,11,1,0,-1,0,-1,0,0,C22 H17 N1 O11
C21 H17 N1 O10,-C1 -H2,22,19,10,1,0,-1,-2,0,0,0,C22 H19 N1 O10
C21 H17 N1 O10,-C2 -H4 -O1,23,21,11,1,0,-2,-4,-1,0,0,C23 H21 N1 O11
C21 H17 N1 O10,-C4 -H4 -O1,25,21,11,1,0,-4,-4,-1,0,0,C25 H21 N1 O11
C21 H17 N1 O10,-H2,21,19,10,1,0,0,-2,0,0,0,C21 H19 N1 O10
C21 H17 N1 O10,-C1 -O2,22,17,12,1,0,-1,0,-2,0,0,C22 H17 N1 O12
C21 H17 N1 O10,-H2 -O1,21,19,11,1,0,0,-2,-1,0,0,C21 H19 N1 O11
C21 H17 N1 O10,-C2 -H2,23,19,10,1,0,-2,-2,0,0,0,C23 H19 N1 O10
C21 H17 N1 O10,H1 -O1 N1,21,16,11,0,0,0,1,-1,1,0,C21 H16 O11
C13 H11 N1 O7,-C1,14,11,7,1,0,-1,0,0,0,0,C14 H11 N1 O7
C13 H11 N1 O7,-C1 -O1,14,11,8,1,0,-1,0,-1,0,0,C14 H11 N1 O8
C13 H11 N1 O7,-C1 -H2,14,13,7,1,0,-1,-2,0,0,0,C14 H13 N1 O7
C13 H11 N1 O7,-C2 -H4 -O1,15,15,8,1,0,-2,-4,-1,0,0,C15 H15 N1 O8
C13 H11 N1 O7,-C4 -H4 -O1,17,15,8,1,0,-4,-4,-1,0,0,C17 H15 N1 O8
C13 H11 N1 O7,-H2,13,13,7,1,0,0,-2,0,0,0,C13 H13 N1 O7
C13 H11 N1 O7,-C1 -O2,14,11,9,1,0,-1,0,-2,0,0,C14 H11 N1 O9
C13 H11 N1 O7,-H2 -O1,13,13,8,1,0,0,-2,-1,0,0,C13 H13 N1 O8
C13 H11 N1 O7,-C2 -H2,15,13,7,1,0,-2,-2,0,0,0,C15 H13 N1 O7
C13 H11 N1 O7,H1 -O1 N1,13,10,8,0,0,0,1,-1,1,0,C13 H10 O8
C9 H4 O5,-C1,10,4,5,0,0,-1,0,0,0,0,C10 H4 O5
C9 H4 O5,-C1 -O1,10,4,6,0,0,-1,0,-1,0,0,C10 H4 O6
C9 H4 O5,-C1 -H2,10,6,5,0,0,-1,-2,0,0,0,C10 H6 O5
C9 H4 O5,-C4 -H4 -O1,13,8,6,0,0,-4,-4,-1,0,0,C13 H8 O6
C9 H4 O5,-H2,9,6,5,0,0,0,-2,0,0,0,C9 H6 O5
C9 H4 O5,-C1 -O2,10,4,7,0,0,-1,0,-2,0,0,C10 H4 O7
C9 H4 O5,-C2 -H2,11,6,5,0,0,-2,-2,0,0,0,C11 H6 O5
C10 H13 N1 O3,-C1,11,13,3,1,0,-1,0,0,0,0,C11 H13 N1 O3
C10 H13 N1 O3,-C1 -H2,11,15,3,1,0,-1,-2,0,0,0,C11 H15 N1 O3
C10 H13 N1 O3,-C2 -H4 -O1,12,17,4,1,0,-2,-4,-1,0,0,C12 H17 N1 O4
C10 H13 N1 O3,-C4 -H4 -O1,14,17,4,1,0,-4,-4,-1,0,0,C14 H17 N1 O4
C10 H13 N1 O3,-H2,10,15,3,1,0,0,-2,0,0,0,C10 H15 N1 O3
C10 H13 N1 O3,-C1 -O2,11,13,5,1,0,-1,0,-2,0,0,C11 H13 N1 O5
C10 H13 N1 O3,-H2 -O1,10,15,4,1,0,0,-2,-1,0,0,C10 H15 N1 O4
C10 H13 N1 O3,-C2 -H2,12,15,3,1,0,-2,-2,0,0,0,C12 H15 N1 O3
C10 H13 N1 O3,H1 -O2 -N1,10,12,5,2,0,0,1,-2,-1,0,C10 H12 N2 O5
C11 H6 O5,-C1 -O1,12,6,6,0,0,-1,0,-1,0,0,C12 H6 O6
C11 H6 O5,-C1 -H2,12,8,5,0,0,-1,-2,0,0,0,C12 H8 O5
C11 H6 O5,-C2 -H4 -O1,13,10,6,0,0,-2,-4,-1,0,0,C13 H10 O6
C11 H6 O5,-C4 -H4 -O1,15,10,6,0,0,-4,-4,-1,0,0,C15 H10 O6
C11 H6 O5,-H2,11,8,5,0,0,0,-2,0,0,0,C11 H8 O5
C11 H6 O5,-C1 -O2,12,6,7,0,0,-1,0,-2,0,0,C12 H6 O7
C11 H6 O5,-C2 -H2,13,8,5,0,0,-2,-2,0,0,0,C13 H8 O5
C13 H14 O8 S1,-C1,14,14,8,0,1,-1,0,0,0,0,C14 H14 O8 S1
C13 H14 O8 S1,-C1 -O1,14,14,9,0,1,-1,0,-1,0,0,C14 H14 O9 S1
C13 H14 O8 S1,-C1 -H2,14,16,8,0,1,-1,-2,0,0,0,C14 H16 O8 S1
C13 H14 O8 S1,-C2 -H4 -O1,15,18,9,0,1,-2,-4,-1,0,0,C15 H18 O9 S1
C13 H14 O8 S1,-C4 -H4 -O1,17,18,9,0,1,-4,-4,-1,0,0,C17 H18 O9 S1
C13 H14 O8 S1,-H2,13,16,8,0,1,0,-2,0,0,0,C13 H16 O8 S1
C13 H14 O8 S1,-C1 -O2,14,14,10,0,1,-1,0,-2,0,0,C14 H14 O10 S1
C13 H14 O8 S1,-H2 -O1,13,16,9,0,1,0,-2,-1,0,0,C13 H16 O9 S1
C13 H14 O8 S1,-C2 -H2,15,16,8,0,1,-2,-2,0,0,0,C15 H16 O8 S1
C11 H13 N1 O5,-C1,12,13,5,1,0,-1,0,0,0,0,C12 H13 N1 O5
C11 H13 N1 O5,-C1 -O1,12,13,6,1,0,-1,0,-1,0,0,C12 H13 N1 O6
C11 H13 N1 O5,-C1 -H2,12,15,5,1,0,-1,-2,0,0,0,C12 H15 N1 O5
C11 H13 N1 O5,-C2 -H4 -O1,13,17,6,1,0,-2,-4,-1,0,0,C13 H17 N1 O6
C11 H13 N1 O5,-C4 -H4 -O1,15,17,6,1,0,-4,-4,-1,0,0,C15 H17 N1 O6
C11 H13 N1 O5,-H2,11,15,5,1,0,0,-2,0,0,0,C11 H15 N1 O5
C11 H13 N1 O5,-C1 -O2,12,13,7,1,0,-1,0,-2,0,0,C12 H13 N1 O7
C11 H13 N1 O5,-H2 -O1,11,15,6,1,0,0,-2,-1,0,0,C11 H15 N1 O6
