from_cd,to_cd
Financial District (CD1),Bedford Stuyvesant (CD3)
Financial District (CD1),Bushwick (CD4)
Financial District (CD1),South Crown Heights and Lefferts Gardens (CD9)
Financial District (CD1),Stuyvesant Town and Turtle Bay (CD6)
Financial District (CD1),Greenwich Village and Soho (CD2)
Financial District (CD1),Woodside and Sunnyside (CD2)
Financial District (CD1),Flatbush and Midwood (CD14)
Financial District (CD1),Lower East Side and Chinatown (CD3)
Financial District (CD1),Greenpoint and Williamsburg (CD1)
Financial District (CD1),Upper East Side (CD8)
Financial District (CD1),Brownsville (CD16)
Financial District (CD1),East Flatbush (CD17)
Financial District (CD1),Park Slope and Carroll Gardens (CD6)
Financial District (CD1),Sunset Park (CD7)
Flatbush and Midwood (CD14),Crown Heights and Prospect Heights (CD8)
Flatbush and Midwood (CD14),Bay Ridge and Dyker Heights (CD10)
Flatbush and Midwood (CD14),Borough Park (CD12)
Flatbush and Midwood (CD14),Fort Greene and Brooklyn Heights (CD2)
Flatbush and Midwood (CD14),Bedford Stuyvesant (CD3)
Flatbush and Midwood (CD14),Bushwick (CD4)
Flatbush and Midwood (CD14),South Crown Heights and Lefferts Gardens (CD9)
Flatbush and Midwood (CD14),Financial District (CD1)
Flatbush and Midwood (CD14),Greenpoint and Williamsburg (CD1)
Flatbush and Midwood (CD14),East New York and Starrett City (CD5)
Flatbush and Midwood (CD14),Brownsville (CD16)
Flatbush and Midwood (CD14),East Flatbush (CD17)
Flatbush and Midwood (CD14),Park Slope and Carroll Gardens (CD6)
Flatbush and Midwood (CD14),Sunset Park (CD7)
Lower East Side and Chinatown (CD3),Crown Heights and Prospect Heights (CD8)
Lower East Side and Chinatown (CD3),Midtown (CD5)
Lower East Side and Chinatown (CD3),Clinton and Chelsea (CD4)
Lower East Side and Chinatown (CD3),Upper West Side (CD7)
Lower East Side and Chinatown (CD3),Borough Park (CD12)
Lower East Side and Chinatown (CD3),East Harlem (CD11)
Lower East Side and Chinatown (CD3),Elmhurst and Corona (CD4)
Lower East Side and Chinatown (CD3),Fort Greene and Brooklyn Heights (CD2)
Lower East Side and Chinatown (CD3),Bedford Stuyvesant (CD3)
Lower East Side and Chinatown (CD3),Bushwick (CD4)
Lower East Side and Chinatown (CD3),South Crown Heights and Lefferts Gardens (CD9)
Lower East Side and Chinatown (CD3),Stuyvesant Town and Turtle Bay (CD6)
Lower East Side and Chinatown (CD3),Greenwich Village and Soho (CD2)
Lower East Side and Chinatown (CD3),Woodside and Sunnyside (CD2)
Lower East Side and Chinatown (CD3),Financial District (CD1)
Lower East Side and Chinatown (CD3),Greenpoint and Williamsburg (CD1)
Lower East Side and Chinatown (CD3),Upper East Side (CD8)
Lower East Side and Chinatown (CD3),Long Island City and Astoria (CD1)
Lower East Side and Chinatown (CD3),Brownsville (CD16)
Lower East Side and Chinatown (CD3),East Flatbush (CD17)
Lower East Side and Chinatown (CD3),Ridgewood and Maspeth (CD5)
Lower East Side and Chinatown (CD3),Park Slope and Carroll Gardens (CD6)
Lower East Side and Chinatown (CD3),Sunset Park (CD7)
Greenpoint and Williamsburg (CD1),Crown Heights and Prospect Heights (CD8)
Greenpoint and Williamsburg (CD1),Midtown (CD5)
Greenpoint and Williamsburg (CD1),Clinton and Chelsea (CD4)
Greenpoint and Williamsburg (CD1),Upper West Side (CD7)
Greenpoint and Williamsburg (CD1),Borough Park (CD12)
