formula_string,C,H,O,N,S
C28 H28 O25,28,28,25,0,0
C33 H34 O21,33,34,21,0,0
C24 13C1 H12 O17,24,12,17,0,0
C21 H21 N1 O18 S1,21,21,18,1,1
C23 13C1 H18 O14 S1,23,18,14,0,1
C28 H24 O19,28,24,19,0,0
C22 H20 O12,22,20,12,0,0
C36 H24 O25,36,24,25,0,0
C10 H6 O7,10,6,7,0,0
C27 H24 O22,27,24,22,0,0
C18 13C1 H22 O12,18,22,12,0,0
C21 H19 N1 O15,21,19,15,1,0
C11 H8 O9,11,8,9,0,0
C20 13C1 H18 O12,20,18,12,0,0
C7 H13 N1 O6 S1 34S1,7,13,6,1,1
C22 13C1 H22 O13,22,22,13,0,0
C22 H22 O14,22,22,14,0,0
C19 13C1 H16 O12,19,16,12,0,0
C25 13C1 H20 O15,25,20,15,0,0
C23 H20 O19,23,20,19,0,0
C18 13C1 H14 O16,18,14,16,0,0
C27 13C1 H20 O23,27,20,23,0,0
C20 H16 N2 O11,20,16,11,2,0
C34 H24 O20 34S1,34,24,20,0,0
C33 H22 O23,33,22,23,0,0
C17 13C1 H36 O4,17,36,4,0,0
C19 H12 O11,19,12,11,0,0
C26 13C1 H20 O21,26,20,21,0,0
C18 H22 O12,18,22,12,0,0
C28 13C1 H26 N2 O21 S1,28,26,21,2,1
C36 H34 O23,36,34,23,0,0
C13 H10 O6,13,10,6,0,0
C27 H19 N1 O21 S1,27,19,21,1,1
C33 H27 N1 O19,33,27,19,1,0
C19 13C1 H10 O13,19,10,13,0,0
C26 13C1 H26 N2 O25 S1,26,26,25,2,1
C15 H13 N1 O7,15,13,7,1,0
C32 13C1 H24 O21,32,24,21,0,0
C25 H25 N1 O16,25,25,16,1,0
C26 H16 O17,26,16,17,0,0
C21 H11 N1 O14,21,11,14,1,0
C15 13C1 H18 O13,15,18,13,0,0
C16 H12 O6 S1,16,12,6,0,1
C19 H16 O11 S1,19,16,11,0,1
C26 13C1 H28 O20,26,28,20,0,0
C30 H22 O21,30,22,21,0,0
C21 H18 O10,21,18,10,0,0
C15 13C1 H20 O9,15,20,9,0,0
C29 H20 O16,29,20,16,0,0
C27 H14 O19,27,14,19,0,0
C37 H74 O6,37,74,6,0,0
C18 13C1 H16 O16,18,16,16,0,0
C10 13C1 H6 O8,10,6,8,0,0
C29 13C1 H20 O19,29,20,19,0,0
C18 13C1 H20 O14,18,20,14,0,0
C32 13C1 H28 O23,32,28,23,0,0
C25 H23 N1 O13,25,23,13,1,0
C29 H32 O17,29,32,17,0,0
C10 H12 O8,10,12,8,0,0
C37 H28 O18 S1 34S1,37,28,18,0,1
C36 H26 O21 S1,36,26,21,0,1
C26 H17 N1 O19,26,17,19,1,0
C20 H23 N1 O17 S1,20,23,17,1,1
C11 H14 O4,11,14,4,0,0
C20 13C1 H26 O13,20,26,13,0,0
C30 H25 N1 O19,30,25,19,1,0
C23 H28 O13,23,28,13,0,0
C14 H8 O5,14,8,5,0,0
C30 H27 N1 O23,30,27,23,1,0
C27 H22 O15,27,22,15,0,0
C25 H19 N1 O11 S1 34S1,25,19,11,1,1
C6 H4 O5,6,4,5,0,0
C9 13C1 H6 O6,9,6,6,0,0
C21 H16 N2 O20,21,16,20,2,0
C20 H14 O15,20,14,15,0,0
C20 H16 N2 O20,20,16,20,2,0
C37 H74 O2 S1,37,74,2,0,1
C13 13C1 H18 O11,13,18,11,0,0
C25 H14 O20,25,14,20,0,0
C26 H30 O15,26,30,15,0,0
C9 13C1 H6 O7,9,6,7,0,0
C19 13C1 H10 O15,19,10,15,0,0
C25 H25 N1 O21,25,25,21,1,0
C17 H10 O11,17,10,11,0,0
C13 13C1 H12 O8,13,12,8,0,0
C16 H14 O15 S1,16,14,15,0,1
C17 13C1 H18 O11,17,18,11,0,0
C17 H14 O16 S1,17,14,16,0,1
C23 13C1 H22 O16,23,22,16,0,0
C23 H18 N2 O20,23,18,20,2,0
C21 H24 O13,21,24,13,0,0
C26 H17 N1 O17,26,17,17,1,0
C17 13C1 H18 O9,17,18,9,0,0
C22 13C1 H12 O16,22,12,16,0,0
C19 H17 N1 O14,19,17,14,1,0
C25 13C1 H16 O18,25,16,18,0,0
C11 H14 O7,11,14,7,0,0
C20 H21 N1 O19 S1,20,21,19,1,1
