formula_string,C,H,O,N,S
C20 H21 N1 O10,20,21,10,1,0
C18 H12 N2 O12,18,12,12,2,0
C37 H78 N2 O1 S1,37,78,1,2,1
C18 H23 N1 O18,18,23,18,1,0
C23 H16 N2 O19 S1,23,16,19,2,1
C44 H76 N2 O3 34S1,44,76,3,2,0
C35 H26 O19,35,26,19,0,0
C19 H10 O13 S1,19,10,13,0,1
C22 H16 O11,22,16,11,0,0
C21 13C1 H20 N2 O22 S1,21,20,22,2,1
C29 13C1 H16 O20,29,16,20,0,0
C35 H30 O19,35,30,19,0,0
C33 13C1 H26 O21,33,26,21,0,0
C22 H20 O21 S1,22,20,21,0,1
C25 H16 O10 S1 34S1,25,16,10,0,1
C14 13C1 H22 O8,14,22,8,0,0
C18 H18 O7,18,18,7,0,0
C42 H81 N1 O5 S1,42,81,5,1,1
C26 H27 N1 O16,26,27,16,1,0
C29 H25 N1 O24,29,25,24,1,0
C28 H14 N2 O20,28,14,20,2,0
C20 13C1 H26 O15,20,26,15,0,0
C16 H12 O5,16,12,5,0,0
C30 H27 N1 O22,30,27,22,1,0
C27 H36 O15,27,36,15,0,0
C38 H77 N1 O10,38,77,10,1,0
C23 H30 O10,23,30,10,0,0
C8 13C1 H8 O7,8,8,7,0,0
C33 H23 N1 O16 34S1,33,23,16,1,0
C50 H80 O7,50,80,7,0,0
C51 H79 N1 O3 S1,51,79,3,1,1
C41 H74 O3,41,74,3,0,0
C23 13C1 H30 O13,23,30,13,0,0
C43 H82 N2 O9,43,82,9,2,0
C28 H19 N1 O21 S1,28,19,21,1,1
C25 13C1 H14 N2 O13 S1,25,14,13,2,1
C33 H30 N2 O29 S1,33,30,29,2,1
C42 H76 O3 S1,42,76,3,0,1
C14 H14 O2,14,14,2,0,0
C30 H36 O16,30,36,16,0,0
C38 H36 O24 S1,38,36,24,0,1
C24 H15 N1 O22,24,15,22,1,0
C23 H24 N2 O13,23,24,13,2,0
C33 H21 N1 O19,33,21,19,1,0
C34 H26 N2 O19,34,26,19,2,0
C20 H13 N1 O10,20,13,10,1,0
C15 H19 N1 O11,15,19,11,1,0
C20 H28 O12,20,28,12,0,0
C32 H19 N1 O14 S1,32,19,14,1,1
C20 H12 O6 S1,20,12,6,0,1
C43 H80 N2 O4 S1,43,80,4,2,1
C40 H78 S1,40,78,0,0,1
C45 H76 N2 O5,45,76,5,2,0
C38 H68 N2 O2,38,68,2,2,0
C40 H36 O25,40,36,25,0,0
C41 H78 N2 O3,41,78,3,2,0
C34 13C1 H30 O24,34,30,24,0,0
C39 H30 O20 S1,39,30,20,0,1
C27 H10 N2 O15,27,10,15,2,0
C26 13C1 H30 O14,26,30,14,0,0
C42 H74 N2 O3,42,74,3,2,0
C27 H32 O15,27,32,15,0,0
C20 H28 O9,20,28,9,0,0
C26 H20 N2 O22 S1,26,20,22,2,1
C10 13C1 H12 O6,10,12,6,0,0
C40 H82 O3 34S1,40,82,3,0,0
C41 13C1 H77 N1 O3,41,77,3,1,0
C40 H34 O27,40,34,27,0,0
C44 H80 N2 O6 S1,44,80,6,2,1
C20 H18 N2 O15 34S1,20,18,15,2,0
C33 H25 N1 O20 S1,33,25,20,1,1
C25 H25 N1 O15,25,25,15,1,0
C26 H24 N2 O14,26,24,14,2,0
C18 13C1 H16 N2 O21 S1,18,16,21,2,1
C17 H13 N1 O8,17,13,8,1,0
C26 H20 O13,26,20,13,0,0
C15 H22 N2 O9,15,22,9,2,0
C23 13C1 H18 O26,23,18,26,0,0
C9 13C1 H16 O6,9,16,6,0,0
C28 H25 N1 O20 34S1,28,25,20,1,0
C43 H77 N1 O2 S1,43,77,2,1,1
C34 H69 N1 O3,34,69,3,1,0
C17 H15 N1 O15 S1,17,15,15,1,1
C30 H30 N2 O24 S1,30,30,24,2,1
C22 13C1 H16 O13,22,16,13,0,0
C19 H16 O12 S1,19,16,12,0,1
C35 H71 N1 O1,35,71,1,1,0
C22 H9 N1 O18,22,9,18,1,0
C45 H68 N2 O3,45,68,3,2,0
C30 H26 O15,30,26,15,0,0
C38 H76 N2 O1,38,76,1,2,0
C19 13C1 H26 O13,19,26,13,0,0
C27 H10 N2 O14,27,10,14,2,0
C17 13C1 H24 O9,17,24,9,0,0
C35 H32 N2 O31,35,32,31,2,0
C25 H25 N1 O16 S1 34S1,25,25,16,1,1
C35 13C1 H32 O23,35,32,23,0,0
C17 H19 N1 O2,17,19,2,1,0
C26 H25 N1 O22 S1 34S1,26,25,22,1,1
C27 13C1 H20 N2 O22 S1,27,20,22,2,1
C13 13C1 H18 O6,13,18,6,0,0
C43 H76 O6,43,76,6,0,0
C14 H6 O6,14,6,6,0,0
C27 H21 N1 O26,27,21,26,1,0
C21 H24 N2 O11,21,24,11,2,0
C20 H24 O13,20,24,13,0,0
C20 13C1 H28 O11,20,28,11,0,0
C24 H14 O20,24,14,20,0,0
C31 13C1 H19 N1 O15 S1,31,19,15,1,1
C28 13C1 H27 N1 O27,28,27,27,1,0
C30 H30 O25 S1,30,30,25,0,1
C26 H22 N2 O14 S1,26,22,14,2,1
C45 13C1 H79 N1 O6,45,79,6,1,0
C47 H82 O4 S1,47,82,4,0,1
C18 H13 N1 O13 S1,18,13,13,1,1
C26 13C1 H30 O16,26,30,16,0,0
C38 H80 N2 O5 34S1,38,80,5,2,0
C51 H88 O15 S1,51,88,15,0,1
C32 H34 O18,32,34,18,0,0
C13 H14 O9 S1,13,14,9,0,1
C41 H68 S1,41,68,0,0,1
C41 H76 N2 O4,41,76,4,2,0
C40 H82 O3 S1,40,82,3,0,1
C27 H20 O14,27,20,14,0,0
C22 H27 N1 O20,22,27,20,1,0
C19 13C1 H10 O12,19,10,12,0,0
C43 H82 N2 O12,43,82,12,2,0
C25 H16 N2 O21 S1,25,16,21,2,1
C45 H73 N1 O1 S1,45,73,1,1,1
C26 13C1 H21 N1 O19 S1,26,21,19,1,1
C34 H27 N1 O21 S1,34,27,21,1,1
C24 H18 O12 S1,24,18,12,0,1
C41 H82 O6 S1,41,82,6,0,1
C16 H13 N1 O17,16,13,17,1,0
C33 H22 N2 O15 34S1,33,22,15,2,0
C33 H26 N2 O18 S1 34S1,33,26,18,2,1
C17 H17 N1 O18 S1,17,17,18,1,1
C18 H26 O12,18,26,12,0,0
C31 H22 N2 O17,31,22,17,2,0
C25 13C1 H23 N1 O23 S1,25,23,23,1,1
C21 H30 O12,21,30,12,0,0
C36 H31 N1 O14 S1,36,31,14,1,1
C39 13C1 H78 O5,39,78,5,0,0
C20 H26 O8,20,26,8,0,0
C37 H68 N2 O2,37,68,2,2,0
C23 13C1 H18 N2 O16 S1,23,18,16,2,1
C22 H18 O22,22,18,22,0,0
C11 H16 O11 S1,11,16,11,0,1
C21 H28 O9,21,28,9,0,0
C11 H10 O1,11,10,1,0,0
C20 H28 O13,20,28,13,0,0
C24 H19 N1 O24,24,19,24,1,0
C40 H75 N1 O1 S1,40,75,1,1,1
C28 H23 N1 O19,28,23,19,1,0
C43 H74 N2 O3 S1,43,74,3,2,1
C24 13C1 H26 N2 O24 S1,24,26,24,2,1
C32 13C1 H22 O22,32,22,22,0,0
C10 H6 O8 S1,10,6,8,0,1
C18 H23 N1 O9,18,23,9,1,0
C52 H84 N2 O15,52,84,15,2,0
C25 13C1 H30 O15,25,30,15,0,0
C25 H22 N2 O13 S1,25,22,13,2,1
C14 H6 O5,14,6,5,0,0
C23 H12 O13,23,12,13,0,0
C23 H25 N1 O14,23,25,14,1,0
C38 H32 O16 S1 34S1,38,32,16,0,1
C29 H27 N1 O27 S1,29,27,27,1,1
C24 H21 N1 O22 S1,24,21,22,1,1
C32 H36 O21,32,36,21,0,0
C23 H17 N1 O25,23,17,25,1,0
C35 H28 O21 S1,35,28,21,0,1
C37 H70 N2 O3 S1,37,70,3,2,1
C30 H28 N2 O21 S1,30,28,21,2,1
C34 H22 O24 S1,34,22,24,0,1
C38 H32 O20 34S1,38,32,20,0,0
C21 H13 N1 O11 S1,21,13,11,1,1
C25 H14 O14,25,14,14,0,0
C27 13C1 H34 N2 O23 S1,27,34,23,2,1
C35 13C1 H30 O21,35,30,21,0,0
C26 13C1 H32 O17,26,32,17,0,0
C23 H14 N2 O22 S1,23,14,22,2,1
C31 13C1 H24 N2 O21,31,24,21,2,0
C24 H26 O11,24,26,11,0,0
C18 H8 O14,18,8,14,0,0
C29 H17 N1 O15 S1 34S1,29,17,15,1,1
C28 H17 N1 O17,28,17,17,1,0
C14 H17 N1 O11,14,17,11,1,0
C32 H26 O17,32,26,17,0,0
C27 H20 N2 O15 S1,27,20,15,2,1
C25 13C1 H20 N2 O22 34S1,25,20,22,2,0
C35 H73 N1 O7,35,73,7,1,0
C13 H4 O2 S1,13,4,2,0,1
C12 H17 N1 O7,12,17,7,1,0
C23 H29 N1 O20 S1,23,29,20,1,1
C32 H18 N2 O19 S1,32,18,19,2,1
C34 H34 N2 O28 S1,34,34,28,2,1
C30 H36 N2 O23 S1,30,36,23,2,1
C38 H32 O21,38,32,21,0,0
C29 H26 O11 S1 34S1,29,26,11,0,1
C28 H24 O14 S1,28,24,14,0,1
C20 H15 N1 O19,20,15,19,1,0
C23 H18 O22,23,18,22,0,0
C7 13C1 H12 O4,7,12,4,0,0
C33 13C1 H32 O22,33,32,22,0,0
C31 H16 O23,31,16,23,0,0
C23 H15 N1 O12,23,15,12,1,0
C23 H16 O11 S1,23,16,11,0,1
C18 H26 O10,18,26,10,0,0
C26 H14 N2 O13,26,14,13,2,0
C41 H78 N2 O8 S1,41,78,8,2,1
C49 H74 O6,49,74,6,0,0
C44 H86 O11,44,86,11,0,0
C41 H74 O1 34S1,41,74,1,0,0
C42 13C1 H69 N1 O1,42,69,1,1,0
C41 H77 N1 O10,41,77,10,1,0
C27 H22 O14 S1,27,22,14,0,1
C35 H70 N2 O2 S1,35,70,2,2,1
C41 H70 O3,41,70,3,0,0
C31 H29 N1 O24 34S1,31,29,24,1,0
C34 H27 N1 O22 S1,34,27,22,1,1
C29 H13 N1 O17,29,13,17,1,0
C33 H33 N1 O24 S1,33,33,24,1,1
C42 H78 O8,42,78,8,0,0
C18 13C1 H20 O9,18,20,9,0,0
C25 13C1 H30 O18,25,30,18,0,0
C28 H19 N1 O19,28,19,19,1,0
C41 H83 N1 O4 S1,41,83,4,1,1
C17 H19 N1 O19 S1,17,19,19,1,1
C30 H16 O22,30,16,22,0,0
C35 H36 N2 O26 S1,35,36,26,2,1
C22 13C1 H24 O11,22,24,11,0,0
C19 13C1 H28 O12,19,28,12,0,0
C20 H15 N1 O17 S1,20,15,17,1,1
C24 H20 N2 O24,24,20,24,2,0
C36 13C1 H75 N1 O10,36,75,10,1,0
C30 H36 O19,30,36,19,0,0
C23 H46 O2,23,46,2,0,0
C25 H17 N1 O12 S1,25,17,12,1,1
C32 H32 N2 O28 S1,32,32,28,2,1
C28 H27 N1 O26,28,27,26,1,0
C27 H19 N1 O25,27,19,25,1,0
C22 H30 O13,22,30,13,0,0
C37 H67 N1,37,67,0,1,0
C30 H33 N1 O24 S1,30,33,24,1,1
C24 H16 N2 O12 34S1,24,16,12,2,0
C11 H14 N2 O3,11,14,3,2,0
C40 H76 N2 O1,40,76,1,2,0
C44 H78 N2 O2 34S1,44,78,2,2,0
C35 13C1 H32 O24,35,32,24,0,0
C29 13C1 H24 O17,29,24,17,0,0
C23 H16 O14 S1,23,16,14,0,1
C21 H18 O9,21,18,9,0,0
C22 H20 O23,22,20,23,0,0
C26 H12 N2 O14,26,12,14,2,0
C19 H10 N2 O9 S1,19,10,9,2,1
C39 H34 O24 34S1,39,34,24,0,0
C22 H18 N2 O10 34S1,22,18,10,2,0
C14 13C1 H14 O10 S1,14,14,10,0,1
C25 H32 O13,25,32,13,0,0
C14 H12 N2 O9 S1 34S1,14,12,9,2,1
C26 H23 N1 O14,26,23,14,1,0
C12 13C1 H16 O6,12,16,6,0,0
C42 H72 O2 S1,42,72,2,0,1
C16 H12 O11 S1,16,12,11,0,1
C30 H19 N1 O16 34S1,30,19,16,1,0
C23 H18 O17,23,18,17,0,0
C11 13C1 H16 O6,11,16,6,0,0
C24 H30 O14,24,30,14,0,0
C32 H27 N1 O20 S1,32,27,20,1,1
C20 13C1 H14 O10 S1,20,14,10,0,1
C29 H32 N2 O22 S1,29,32,22,2,1
C37 H28 O20,37,28,20,0,0
C15 H17 N1 O7,15,17,7,1,0
C19 H28 O9,19,28,9,0,0
C27 H14 N2 O14,27,14,14,2,0
C34 H34 N2 O25 S1 34S1,34,34,25,2,1
C33 H32 N2 O28 S1,33,32,28,2,1
C27 H36 O14,27,36,14,0,0
C19 H16 O8,19,16,8,0,0
C30 H20 N2 O19 S1,30,20,19,2,1
C13 H17 N1 O10,13,17,10,1,0
C40 H36 O25 S1,40,36,25,0,1
C30 H20 N2 O21,30,20,21,2,0
C17 13C1 H24 O13,17,24,13,0,0
C23 H17 N1 O23,23,17,23,1,0
C30 H28 O15,30,28,15,0,0
C24 H30 O12,24,30,12,0,0
C27 H18 O11 S1 34S1,27,18,11,0,1
C39 H68 O2,39,68,2,0,0
C42 H79 N1 O4 S1,42,79,4,1,1
C41 H80 N2 O8 S1,41,80,8,2,1
C17 H13 N1 O20,17,13,20,1,0
C23 H18 O11 S1,23,18,11,0,1
C24 H18 N2 O21 S1,24,18,21,2,1
C44 H74 O8,44,74,8,0,0
C15 H20 O16 S1,15,20,16,0,1
C42 H82 O5 S1,42,82,5,0,1
C33 H69 N1 O3,33,69,3,1,0
C25 13C1 H24 N2 O21 S1,25,24,21,2,1
C33 13C1 H20 O19,33,20,19,0,0
C29 13C1 H28 O18,29,28,18,0,0
C42 H82 O11 S1,42,82,11,0,1
C15 H17 N1 O14,15,17,14,1,0
C49 H78 N2 O2,49,78,2,2,0
C14 H12 O11 S1,14,12,11,0,1
C16 H8 O8,16,8,8,0,0
C18 H20 O7,18,20,7,0,0
C12 H4 O8,12,4,8,0,0
C23 13C1 H12 O13 S1,23,12,13,0,1
C33 H18 O20,33,18,20,0,0
C24 H28 O12,24,28,12,0,0
C38 H32 O23,38,32,23,0,0
C31 13C1 H30 O18,31,30,18,0,0
C32 H24 O17,32,24,17,0,0
C31 H16 N2 O17,31,16,17,2,0
C24 H14 N2 O24,24,14,24,2,0
C16 13C1 H18 O8,16,18,8,0,0
C40 H74 O4,40,74,4,0,0
C23 13C1 H26 O14,23,26,14,0,0
C43 13C1 H73 N1 O5,43,73,5,1,0
C45 H76 O3 S1,45,76,3,0,1
C17 H26 O9,17,26,9,0,0
C33 H32 N2 O26 S1,33,32,26,2,1
C30 H24 O29,30,24,29,0,0
C45 H80 N2 O1 34S1,45,80,1,2,0
C20 H20 O20 S1,20,20,20,0,1
C26 H20 O14 S1,26,20,14,0,1
C43 H77 N1 O2 S1 34S1,43,77,2,1,1
C31 H15 N1 O17,31,15,17,1,0
C34 H25 N1 O16 34S1,34,25,16,1,0
C47 H80 N2 O8,47,80,8,2,0
C23 13C1 H12 O15,23,12,15,0,0
C37 H34 N2 O27,37,34,27,2,0
C41 H83 N1 O10 S1,41,83,10,1,1
C26 H21 N1 O25,26,21,25,1,0
C23 H21 N1 O21,23,21,21,1,0
C20 H17 N1 O10 S1,20,17,10,1,1
C41 H75 N1 O10,41,75,10,1,0
C38 H75 N1 O4 34S1,38,75,4,1,0
C39 H76 O6,39,76,6,0,0
C22 H30 O11,22,30,11,0,0
C17 H18 O19 34S1,17,18,19,0,0
C18 13C1 H13 N1 O19,18,13,19,1,0
C21 H26 O9,21,26,9,0,0
C10 H5 N1 O6,10,5,6,1,0
C15 H13 N1 O17,15,13,17,1,0
C39 H34 O24 S1,39,34,24,0,1
C23 H20 N2 O10 S1,23,20,10,2,1
C14 13C1 H10 O8,14,10,8,0,0
C29 H16 N2 O14,29,16,14,2,0
C28 H20 N2 O22 S1,28,20,22,2,1
C30 H22 O16,30,22,16,0,0
C30 H28 N2 O22 S1,30,28,22,2,1
C31 H19 N1 O19,31,19,19,1,0
C19 H18 O8,19,18,8,0,0
C34 H72 N2 O3,34,72,3,2,0
C26 H18 O14,26,18,14,0,0
C38 13C1 H76 N2 O3 S1,38,76,3,2,1
C30 H24 N2 O27 S1,30,24,27,2,1
C16 13C1 H24 O9,16,24,9,0,0
C21 H21 N1 O10,21,21,10,1,0
C8 H5 N1 O6,8,5,6,1,0
C18 H16 O16 S1,18,16,16,0,1
C26 H11 N1 O15,26,11,15,1,0
C38 H67 N1,38,67,0,1,0
C37 H32 O23 S1,37,32,23,0,1
C17 13C1 H24 O10,17,24,10,0,0
C33 H26 O18,33,26,18,0,0
C29 H23 N1 O23 S1,29,23,23,1,1
C34 13C1 H28 O22,34,28,22,0,0
C24 13C1 H26 O12,24,26,12,0,0
C24 13C1 H26 O14,24,26,14,0,0
C27 H22 O15 S1,27,22,15,0,1
C30 H32 O16,30,32,16,0,0
C19 H28 O10,19,28,10,0,0
C27 H25 N1 O15,27,25,15,1,0
C19 H20 O8,19,20,8,0,0
C39 13C1 H78 O7,39,78,7,0,0
C21 H21 N1 O21,21,21,21,1,0
C20 H23 N1 O10,20,23,10,1,0
C7 H9 N1 O3 S1,7,9,3,1,1
C31 H33 N1 O26 S1,31,33,26,1,1
C18 H21 N1 O15 S1 34S1,18,21,15,1,1
C32 H34 O17,32,34,17,0,0
C10 H9 N1 O5,10,9,5,1,0
C6 13C1 H6 O4,6,6,4,0,0
C21 H18 O20 S1,21,18,20,0,1
C14 H10 O10 S1,14,10,10,0,1
C24 H26 O12,24,26,12,0,0
C32 H30 O16,32,30,16,0,0
C17 13C1 H24 O8,17,24,8,0,0
C22 H10 N2 O11,22,10,11,2,0
C24 H24 O11,24,24,11,0,0
C26 H22 N2 O22 S1,26,22,22,2,1
C46 H80 O4 34S1,46,80,4,0,0
C45 H78 O7,45,78,7,0,0
C29 13C1 H26 O17,29,26,17,0,0
C12 H17 N1 O6,12,17,6,1,0
C20 H17 N1 O15,20,17,15,1,0
C40 H71 N1 S1,40,71,0,1,1
C12 H18 O13 S1,12,18,13,0,1
C27 H18 N2 O18 S1,27,18,18,2,1
C36 H28 O21 34S1,36,28,21,0,0
C45 H82 O13,45,82,13,0,0
C26 H22 N2 O25 S1,26,22,25,2,1
C38 H68 N2 O1,38,68,1,2,0
C21 H19 N1 O20,21,19,20,1,0
C28 H28 N2 O23 34S1,28,28,23,2,0
C27 H26 N2 O26,27,26,26,2,0
C11 13C1 H18 O8,11,18,8,0,0
C25 H22 N2 O13,25,22,13,2,0
C23 13C1 H20 O23,23,20,23,0,0
C46 H77 N1 O2,46,77,2,1,0
C29 H30 O15,29,30,15,0,0
C32 H22 N2 O18,32,22,18,2,0
C31 H20 O24,31,20,24,0,0
C36 H74 N2 S1,36,74,0,2,1
C49 H84 O8 S1,49,84,8,0,1
C36 H26 O20 S1,36,26,20,0,1
C20 H28 O10,20,28,10,0,0
C20 H19 N1 O9,20,19,9,1,0
C25 H14 O14 S1,25,14,14,0,1
C22 H20 N2 O21 S1,22,20,21,2,1
C20 H11 N1 O17,20,11,17,1,0
C27 H32 O13,27,32,13,0,0
C19 13C1 H12 O17,19,12,17,0,0
C25 13C1 H12 O18,25,12,18,0,0
C23 H15 N1 O24,23,15,24,1,0
C33 H34 O19,33,34,19,0,0
C22 13C1 H16 O12 S1,22,16,12,0,1
C25 H18 O24 S1,25,18,24,0,1
C33 H34 O20,33,34,20,0,0
C29 H14 O17 S1,29,14,17,0,1
C29 13C1 H28 N2 O22 S1,29,28,22,2,1
C32 H30 N2 O27 S1,32,30,27,2,1
C46 H80 N2 O2 S1,46,80,2,2,1
C46 H82 N2 O3 S1,46,82,3,2,1
C48 H82 N2 O3 S1,48,82,3,2,1
C28 H23 N1 O18 S1,28,23,18,1,1
C38 13C1 H76 O3,38,76,3,0,0
C14 H26 N2 O13 S1,14,26,13,2,1
C26 H19 N1 O22,26,19,22,1,0
C45 H80 O4,45,80,4,0,0
C34 13C1 H72 N2 O2,34,72,2,2,0
C29 H15 N1 O17,29,15,17,1,0
C23 H19 N1 O19 S1,23,19,19,1,1
C36 H66 N2 O1,36,66,1,2,0
C33 H70 N2,33,70,0,2,0
C18 H17 N1 O18 S1,18,17,18,1,1
C23 H17 N1 O20,23,17,20,1,0
C27 H24 N2 O14 S1,27,24,14,2,1
C37 13C1 H72 S1,37,72,0,0,1
C43 H69 N1 O1,43,69,1,1,0
C36 H68 N2 O4,36,68,4,2,0
C21 H16 O4 S1,21,16,4,0,1
C27 H16 N2 O14 S1,27,16,14,2,1
C28 H20 O15,28,20,15,0,0
C37 H68 N2 O1,37,68,1,2,0
C23 H28 O11,23,28,11,0,0
C42 H86 N2 O5 S1 34S1,42,86,5,2,1
C50 H82 O3 34S1,50,82,3,0,0
C20 H24 O8,20,24,8,0,0
C21 H24 O9,21,24,9,0,0
C13 H16 O3,13,16,3,0,0
C26 H18 O22 S1,26,18,22,0,1
C42 13C1 H81 N1 O6 S1,42,81,6,1,1
C30 H34 N2 O23 S1,30,34,23,2,1
C38 H30 O21,38,30,21,0,0
C26 H24 N2 O12 S1,26,24,12,2,1
C16 H24 N2 O13 S1,16,24,13,2,1
C24 H20 O11,24,20,11,0,0
C37 H30 O26 S1,37,30,26,0,1
C44 13C1 H76 N2 O5,44,76,5,2,0
C37 H70 O1 S1,37,70,1,0,1
C21 H21 N1 O21 S1,21,21,21,1,1
C25 H24 N2 O13 S1,25,24,13,2,1
C27 H19 N1 O16 S1,27,19,16,1,1
C39 H77 N1 O5 S1,39,77,5,1,1
C17 H12 O15 S1,17,12,15,0,1
C27 H21 N1 O22 S1,27,21,22,1,1
C15 H18 N2 O8,15,18,8,2,0
C26 H34 O15,26,34,15,0,0
C31 H16 N2 O21,31,16,21,2,0
C13 H10 O8 S1,13,10,8,0,1
C27 13C1 H22 O15,27,22,15,0,0
C48 H76 O5,48,76,5,0,0
C25 H19 N1 O17 S1,25,19,17,1,1
C39 H77 N1 O1 S1,39,77,1,1,1
C31 H24 N2 O22 S1,31,24,22,2,1
C12 H22 O9,12,22,9,0,0
C31 H18 O19 S1,31,18,19,0,1
C22 H25 N1 O13,22,25,13,1,0
C28 H18 O10 S1,28,18,10,0,1
C20 H8 N2 O13,20,8,13,2,0
C24 H19 N1 O21,24,19,21,1,0
C47 H82 N2 O3 S1,47,82,3,2,1
C32 H19 N1 O15 S1,32,19,15,1,1
C27 13C1 H30 O16,27,30,16,0,0
C31 H25 N1 O18,31,25,18,1,0
C28 13C1 H30 O19,28,30,19,0,0
C40 H73 N1 O7,40,73,7,1,0
C19 H22 N2 O9,19,22,9,2,0
C39 H30 O20 34S1,39,30,20,0,0
C30 H32 N2 O25 S1,30,32,25,2,1
C38 H28 O23,38,28,23,0,0
C22 H14 O19 S1,22,14,19,0,1
C35 H73 N1 O1,35,73,1,1,0
C12 H12 O12 S1,12,12,12,0,1
C24 H19 N1 O22 S1,24,19,22,1,1
C21 H9 N1 O13,21,9,13,1,0
C43 H71 N1 O1 S1,43,71,1,1,1
C17 H15 N1 O19,17,15,19,1,0
C17 13C1 H14 O15 S1,17,14,15,0,1
C46 H83 N1 O15,46,83,15,1,0
C35 H71 N1 O1 S1,35,71,1,1,1
C24 H22 O24 S1,24,22,24,0,1
C24 H25 N1 O15 S1 34S1,24,25,15,1,1
C22 H14 O11 S1,22,14,11,0,1
C36 H76 N2,36,76,0,2,0
C35 H26 O20 S1,35,26,20,0,1
C24 H19 N1 O19 S1,24,19,19,1,1
C35 13C1 H32 O23 S1,35,32,23,0,1
C6 13C1 H10 O4,6,10,4,0,0
C17 H18 O16 S1,17,18,16,0,1
C21 H19 N1 O21 S1,21,19,21,1,1
C31 H36 N2 O24 S1,31,36,24,2,1
C39 H32 O22,39,32,22,0,0
C16 H13 N1 O19,16,13,19,1,0
C29 H23 N1 O23,29,23,23,1,0
C17 H11 N1 O18,17,11,18,1,0
C26 H32 O12,26,32,12,0,0
C16 13C1 H24 O11,16,24,11,0,0
C44 H84 O4 S1 34S1,44,84,4,0,1
C17 13C1 H8 O12,17,8,12,0,0
C30 H20 O16,30,20,16,0,0
C40 H76 O2 34S1,40,76,2,0,0
C10 H9 N1 O4,10,9,4,1,0
C33 H20 N2 O18,33,20,18,2,0
C27 H22 N2 O14,27,22,14,2,0
C21 H20 O11 S1,21,20,11,0,1
C43 H77 N1 O5 S1,43,77,5,1,1
C11 H18 N2 O6,11,18,6,2,0
C17 H20 O4 S1,17,20,4,0,1
C43 H74 N2 O5,43,74,5,2,0
C22 H19 N1 O22,22,19,22,1,0
C15 H14 O14 S1,15,14,14,0,1
C18 13C1 H26 O11,18,26,11,0,0
C38 H72 O1 S1,38,72,1,0,1
C29 H36 O18,29,36,18,0,0
C44 H78 N2 S1,44,78,0,2,1
C30 H20 N2 O20,30,20,20,2,0
C18 H14 O15 S1,18,14,15,0,1
C27 13C1 H30 N2 O23 S1,27,30,23,2,1
C21 13C1 H20 O11,21,20,11,0,0
C19 H17 N1 O18,19,17,18,1,0
C26 H52 O8,26,52,8,0,0
C29 H36 O15,29,36,15,0,0
C11 H16 O10 S1,11,16,10,0,1
C27 H12 N2 O18,27,12,18,2,0
C44 H74 N2 O1 34S1,44,74,1,2,0
C40 H77 N1 O1 S1,40,77,1,1,1
C29 H26 N2 O24 S1,29,26,24,2,1
C26 H32 O14,26,32,14,0,0
C25 H18 O13,25,18,13,0,0
C20 H14 N2 O22 S1,20,14,22,2,1
C28 H10 O20,28,10,20,0,0
C31 H25 N1 O26,31,25,26,1,0
C39 H76 O6 S1,39,76,6,0,1
C17 H26 O10,17,26,10,0,0
C43 H82 O2 S1 34S1,43,82,2,0,1
C23 H23 N1 O20,23,23,20,1,0
C43 H80 N2 O1 S1,43,80,1,2,1
C21 H17 N1 O10,21,17,10,1,0
C20 H17 N1 O20 34S1,20,17,20,1,0
C27 H12 N2 O15,27,12,15,2,0
C44 H82 O2 S1 34S1,44,82,2,0,1
C37 H75 N1 O10,37,75,10,1,0
C13 13C1 H20 O8,13,20,8,0,0
C32 H27 N1 O21,32,27,21,1,0
C35 13C1 H72 N2 O3 S1,35,72,3,2,1
C43 13C1 H68 O1,43,68,1,0,0
C29 H17 N1 O19 S1,29,17,19,1,1
C47 H84 O10 S1,47,84,10,0,1
C30 H25 N1 O17,30,25,17,1,0
C25 H30 O12,25,30,12,0,0
C21 H8 O15,21,8,15,0,0
C38 H78 O10,38,78,10,0,0
C15 13C1 H15 N1 O19,15,15,19,1,0
C37 H28 O21 S1,37,28,21,0,1
C47 H86 O5 S1,47,86,5,0,1
C25 13C1 H26 O14,25,26,14,0,0
C28 H16 O16 S1,28,16,16,0,1
C28 H20 N2 O14 S1,28,20,14,2,1
C41 13C1 H72,41,72,0,0,0
C28 H15 N1 O20,28,15,20,1,0
C24 13C1 H22 O13,24,22,13,0,0
C48 H80 N2 O5 S1,48,80,5,2,1
C37 H27 N1 O26,37,27,26,1,0
C19 13C1 H16 O10,19,16,10,0,0
C40 H34 N2 O25 S1,40,34,25,2,1
C27 13C1 H28 O16,27,28,16,0,0
C41 H80 O4 S1,41,80,4,0,1
C30 13C1 H18 N2 O19,30,18,19,2,0
C25 13C1 H28 N2 O23 S1,25,28,23,2,1
C33 13C1 H24 O21,33,24,21,0,0
C22 H16 O23 S1,22,16,23,0,1
C28 H22 N2 O22 S1,28,22,22,2,1
C48 H78 O3 S1,48,78,3,0,1
C34 H71 N1 O7,34,71,7,1,0
C26 H24 O14 S1,26,24,14,0,1
C26 13C1 H32 O16,26,32,16,0,0
C38 H78 S1,38,78,0,0,1
C26 H23 N1 O22 S1,26,23,22,1,1
C33 H29 N1 O21,33,29,21,1,0
C28 H18 O14 S1 34S1,28,18,14,0,1
C50 H78 N2 O6,50,78,6,2,0
C40 H32 O25,40,32,25,0,0
